miRNA	Gene	Score
hsa-miR-3619-3p	FGF22	0.274
hsa-miR-3619-3p	AMBP	0.155
hsa-miR-500b-5p	FGF22	0.595
hsa-miR-500b-5p	AMBP	0.815
hsa-miR-192-3p	AMBP	0.278
hsa-miR-192-3p	FGF22	0.061
hsa-miR-4296	FGF22	0.571
hsa-miR-4296	AMBP	0.575
hsa-miR-517a-3p	FGF22	0.0
hsa-miR-517a-3p	AMBP	0.0
hsa-miR-873-5p	AMBP	0.0
hsa-miR-873-5p	FGF22	0.0
hsa-miR-1233-5p	FGF22	0.128
hsa-miR-1233-5p	AMBP	0.0
hsa-miR-1266-3p	AMBP	0.127
hsa-miR-1266-3p	FGF22	0.419
hsa-miR-2114-5p	FGF22	0.0
hsa-miR-2114-5p	AMBP	0.0
hsa-miR-222-5p	AMBP	0.0
hsa-miR-222-5p	FGF22	0.0
hsa-miR-542-3p	FGF22	0.0
hsa-miR-542-3p	AMBP	0.0
hsa-miR-4768-5p	AMBP	0.179
hsa-miR-4768-5p	FGF22	0.154
hsa-miR-589-5p	AMBP	0.0
hsa-miR-589-5p	FGF22	0.313
hsa-miR-16-1-3p	AMBP	0.0
hsa-miR-16-1-3p	FGF22	0.084
hsa-miR-181c-3p	AMBP	0.101
hsa-miR-181c-3p	FGF22	0.1
hsa-miR-517b-3p	FGF22	0.0
hsa-miR-517b-3p	AMBP	0.0
hsa-miR-548o-3p	FGF22	0.0
hsa-miR-548o-3p	AMBP	0.0
hsa-miR-624-3p	AMBP	0.0
hsa-miR-624-3p	FGF22	0.0
hsa-miR-6766-5p	AMBP	0.0
hsa-miR-6766-5p	FGF22	0.0
hsa-miR-4777-3p	AMBP	0.0
hsa-miR-4777-3p	FGF22	0.0
hsa-miR-181a-2-3p	AMBP	0.0
hsa-miR-181a-2-3p	FGF22	0.0
hsa-miR-6814-5p	AMBP	0.288
hsa-miR-6814-5p	FGF22	0.085
hsa-miR-4732-3p	FGF22	1.155
hsa-miR-4732-3p	AMBP	0.0
hsa-miR-335-3p	AMBP	0.048
hsa-miR-335-3p	FGF22	0.263
hsa-miR-5581-5p	AMBP	0.0
hsa-miR-5581-5p	FGF22	0.0
hsa-miR-27a-5p	FGF22	0.0
hsa-miR-27a-5p	AMBP	0.273
hsa-miR-875-5p	FGF22	0.0
hsa-miR-875-5p	AMBP	0.0
hsa-miR-942-3p	AMBP	0.0
hsa-miR-942-3p	FGF22	0.0
hsa-miR-4269	FGF22	0.322
hsa-miR-4269	AMBP	0.405
hsa-miR-376a-2-5p	AMBP	0.0
hsa-miR-376a-2-5p	FGF22	0.025
hsa-miR-650	FGF22	0.13
hsa-miR-650	AMBP	0.637
hsa-miR-1245a	AMBP	0.0
hsa-miR-1245a	FGF22	0.0
hsa-miR-6884-5p	AMBP	0.235
hsa-miR-6884-5p	FGF22	0.01
hsa-miR-1184	FGF22	0.352
hsa-miR-1184	AMBP	0.281
hsa-miR-4256	AMBP	0.0
hsa-miR-4256	FGF22	0.0
hsa-miR-517-5p	FGF22	0.009
hsa-miR-517-5p	AMBP	0.0
hsa-miR-4480	AMBP	0.0
hsa-miR-4480	FGF22	0.102
hsa-miR-4635	FGF22	0.182
hsa-miR-4635	AMBP	0.0
hsa-miR-4531	AMBP	0.001
hsa-miR-4531	FGF22	0.46
hsa-miR-6892-3p	AMBP	0.0
hsa-miR-6892-3p	FGF22	0.324
hsa-miR-4797-5p	FGF22	0.303
hsa-miR-4797-5p	AMBP	0.071
hsa-miR-18b-5p	AMBP	0.0
hsa-miR-18b-5p	FGF22	0.092
hsa-miR-18a-5p	FGF22	0.047
hsa-miR-18a-5p	AMBP	0.0
hsa-miR-4778-5p	FGF22	0.0
hsa-miR-4778-5p	AMBP	0.0
hsa-miR-3943	AMBP	0.0
hsa-miR-3943	FGF22	0.068
hsa-miR-6773-3p	FGF22	0.103
hsa-miR-6773-3p	AMBP	0.0
hsa-miR-6507-3p	AMBP	0.0
hsa-miR-6507-3p	FGF22	0.43
hsa-miR-7-1-3p	AMBP	0.0
hsa-miR-7-1-3p	FGF22	0.0
hsa-miR-378j	FGF22	0.0
hsa-miR-378j	AMBP	0.0
hsa-miR-6839-5p	AMBP	0.0
hsa-miR-6839-5p	FGF22	0.018
hsa-miR-6788-3p	FGF22	0.485
hsa-miR-6788-3p	AMBP	0.0
hsa-miR-337-5p	AMBP	0.0
hsa-miR-337-5p	FGF22	0.0
hsa-miR-4800-3p	FGF22	0.805
hsa-miR-4800-3p	AMBP	0.0
hsa-miR-374a-5p	AMBP	0.0
hsa-miR-374a-5p	FGF22	0.0
hsa-miR-6513-3p	FGF22	0.0
hsa-miR-6513-3p	AMBP	0.0
hsa-miR-4524a-5p	AMBP	0.0
hsa-miR-4524a-5p	FGF22	0.0
hsa-miR-28-3p	FGF22	0.0
hsa-miR-28-3p	AMBP	0.0
hsa-miR-4640-5p	FGF22	0.198
hsa-miR-4640-5p	AMBP	0.0
hsa-miR-3611	AMBP	0.0
hsa-miR-3611	FGF22	0.0
hsa-miR-8070	AMBP	0.0
hsa-miR-8070	FGF22	0.057
hsa-miR-10a-5p	AMBP	0.0
hsa-miR-10a-5p	FGF22	0.275
hsa-miR-29b-2-5p	FGF22	0.37
hsa-miR-29b-2-5p	AMBP	0.373
hsa-miR-4727-3p	FGF22	0.015
hsa-miR-4727-3p	AMBP	0.0
hsa-miR-561-3p	FGF22	0.0
hsa-miR-561-3p	AMBP	0.12
hsa-miR-514b-5p	AMBP	0.237
hsa-miR-514b-5p	FGF22	0.0
hsa-miR-638	FGF22	0.112
hsa-miR-638	AMBP	0.0
hsa-miR-6516-5p	FGF22	0.0
hsa-miR-6516-5p	AMBP	0.0
hsa-miR-3607-3p	AMBP	0.0
hsa-miR-3607-3p	FGF22	0.359
hsa-miR-3146	AMBP	0.0
hsa-miR-3146	FGF22	0.0
hsa-miR-4707-3p	FGF22	0.0
hsa-miR-4707-3p	AMBP	0.0
hsa-miR-6860	AMBP	0.0
hsa-miR-6860	FGF22	0.0
hsa-miR-4267	FGF22	0.645
hsa-miR-4267	AMBP	0.147
hsa-miR-4325	AMBP	0.0
hsa-miR-4325	FGF22	0.0
hsa-miR-510-5p	AMBP	0.0
hsa-miR-510-5p	FGF22	0.0
hsa-miR-5587-3p	AMBP	0.254
hsa-miR-5587-3p	FGF22	0.0
hsa-miR-4726-5p	AMBP	0.0
hsa-miR-4726-5p	FGF22	0.076
hsa-miR-490-3p	AMBP	0.0
hsa-miR-490-3p	FGF22	0.0
hsa-miR-647	AMBP	0.199
hsa-miR-647	FGF22	0.202
hsa-miR-4726-3p	FGF22	0.0
hsa-miR-4726-3p	AMBP	0.0
hsa-miR-559	FGF22	0.0
hsa-miR-559	AMBP	0.0
hsa-miR-101-3p	FGF22	0.337
hsa-miR-101-3p	AMBP	0.0
hsa-miR-4644	AMBP	0.0
hsa-miR-4644	FGF22	0.0
hsa-miR-6716-5p	FGF22	0.672
hsa-miR-6716-5p	AMBP	0.0
hsa-miR-3134	AMBP	0.0
hsa-miR-3134	FGF22	0.0
hsa-miR-127-5p	AMBP	0.0
hsa-miR-127-5p	FGF22	0.342
hsa-miR-4663	AMBP	0.0
hsa-miR-4663	FGF22	0.0
hsa-miR-193b-3p	FGF22	0.867
hsa-miR-193b-3p	AMBP	0.0
hsa-miR-589-3p	AMBP	0.0
hsa-miR-589-3p	FGF22	0.0
hsa-miR-6861-3p	AMBP	0.775
hsa-miR-6861-3p	FGF22	0.572
hsa-miR-4419a	AMBP	0.306
hsa-miR-4419a	FGF22	0.087
hsa-miR-6722-5p	AMBP	0.296
hsa-miR-6722-5p	FGF22	0.325
hsa-miR-7853-5p	AMBP	0.0
hsa-miR-7853-5p	FGF22	0.0
hsa-miR-5194	AMBP	0.0
hsa-miR-5194	FGF22	0.0
hsa-miR-520a-3p	AMBP	0.0
hsa-miR-520a-3p	FGF22	0.0
hsa-miR-3192-5p	FGF22	0.184
hsa-miR-3192-5p	AMBP	0.0
hsa-miR-6836-3p	FGF22	0.029
hsa-miR-6836-3p	AMBP	0.015
hsa-miR-597-3p	FGF22	0.115
hsa-miR-548x-5p	AMBP	0.0
hsa-miR-548x-5p	FGF22	0.0
hsa-miR-6888-3p	FGF22	0.305
hsa-miR-6888-3p	AMBP	0.0
hsa-miR-6793-5p	AMBP	0.179
hsa-miR-6793-5p	FGF22	0.2
hsa-miR-8075	FGF22	0.0
hsa-miR-8075	AMBP	0.0
hsa-miR-1471	AMBP	0.08
hsa-miR-1471	FGF22	0.234
hsa-miR-5590-3p	AMBP	0.0
hsa-miR-5590-3p	FGF22	0.0
hsa-miR-24-3p	AMBP	0.163
hsa-miR-24-3p	FGF22	0.0
hsa-miR-6825-5p	FGF22	0.227
hsa-miR-6825-5p	AMBP	0.0
hsa-miR-3934-5p	FGF22	0.179
hsa-miR-3934-5p	AMBP	0.0
hsa-miR-6508-5p	AMBP	0.242
hsa-miR-6508-5p	FGF22	0.108
hsa-miR-1238-3p	FGF22	0.672
hsa-miR-1238-3p	AMBP	0.111
hsa-miR-598-3p	AMBP	0.0
hsa-miR-598-3p	FGF22	0.0
hsa-miR-6773-5p	AMBP	0.0
hsa-miR-6773-5p	FGF22	0.0
hsa-miR-548an	AMBP	0.0
hsa-miR-548an	FGF22	0.0
hsa-miR-134-5p	FGF22	0.0
hsa-miR-134-5p	AMBP	0.0
hsa-miR-7157-3p	FGF22	0.0
hsa-miR-7157-3p	AMBP	0.0
hsa-miR-4512	AMBP	0.22
hsa-miR-4512	FGF22	0.284
hsa-miR-6733-5p	AMBP	0.0
hsa-miR-6733-5p	FGF22	0.0
hsa-miR-6749-5p	FGF22	0.373
hsa-miR-6749-5p	AMBP	0.154
hsa-miR-182-3p	FGF22	0.0
hsa-miR-182-3p	AMBP	0.0
hsa-miR-625-3p	FGF22	0.0
hsa-miR-625-3p	AMBP	0.0
hsa-miR-616-5p	AMBP	0.0
hsa-miR-616-5p	FGF22	0.0
hsa-miR-138-5p	FGF22	0.74
hsa-miR-138-5p	AMBP	0.0
hsa-miR-4448	AMBP	0.0
hsa-miR-4448	FGF22	0.049
hsa-miR-4430	FGF22	0.921
hsa-miR-4430	AMBP	0.0
hsa-miR-3117-3p	AMBP	0.646
hsa-miR-3117-3p	FGF22	0.0
hsa-miR-3065-3p	FGF22	0.0
hsa-miR-3065-3p	AMBP	0.0
hsa-miR-6852-3p	AMBP	1.332
hsa-miR-6852-3p	FGF22	0.886
hsa-miR-6505-5p	FGF22	0.116
hsa-miR-6505-5p	AMBP	0.0
hsa-miR-365a-5p	AMBP	0.0
hsa-miR-365a-5p	FGF22	0.0
hsa-miR-6816-3p	FGF22	0.113
hsa-miR-6816-3p	AMBP	0.0
hsa-miR-380-3p	AMBP	0.0
hsa-miR-380-3p	FGF22	0.0
hsa-miR-539-3p	AMBP	0.0
hsa-miR-539-3p	FGF22	0.0
hsa-miR-4487	AMBP	0.0
hsa-miR-4487	FGF22	0.416
hsa-miR-548n	FGF22	0.0
hsa-miR-548n	AMBP	0.0
hsa-miR-217	AMBP	0.0
hsa-miR-217	FGF22	0.0
hsa-miR-892b	AMBP	0.47
hsa-miR-892b	FGF22	0.404
hsa-miR-6805-5p	AMBP	0.05
hsa-miR-6805-5p	FGF22	0.264
hsa-miR-3942-5p	AMBP	0.0
hsa-miR-3942-5p	FGF22	0.0
hsa-miR-1245b-5p	AMBP	0.0
hsa-miR-1245b-5p	FGF22	0.39
hsa-let-7e-3p	AMBP	0.0
hsa-let-7e-3p	FGF22	0.178
hsa-miR-659-5p	AMBP	0.0
hsa-miR-659-5p	FGF22	0.0
hsa-miR-3191-5p	AMBP	0.874
hsa-miR-3191-5p	FGF22	0.003
hsa-miR-6886-3p	FGF22	0.549
hsa-miR-6886-3p	AMBP	0.186
hsa-miR-3180-3p	FGF22	0.366
hsa-miR-3180-3p	AMBP	0.038
hsa-miR-2467-5p	AMBP	0.0
hsa-miR-2467-5p	FGF22	0.0
hsa-miR-5688	AMBP	0.0
hsa-miR-5688	FGF22	0.0
hsa-miR-6872-3p	FGF22	0.879
hsa-miR-6872-3p	AMBP	0.442
hsa-miR-1288-3p	FGF22	0.453
hsa-miR-1288-3p	AMBP	0.23
hsa-miR-3679-5p	FGF22	0.0
hsa-miR-3679-5p	AMBP	0.0
hsa-miR-6867-5p	AMBP	0.0
hsa-miR-6867-5p	FGF22	0.0
hsa-miR-4494	FGF22	0.26
hsa-miR-4494	AMBP	0.36
hsa-miR-548c-5p	AMBP	0.0
hsa-miR-548c-5p	FGF22	0.0
hsa-miR-128-1-5p	AMBP	0.0
hsa-miR-128-1-5p	FGF22	0.348
hsa-miR-7704	FGF22	0.419
hsa-miR-15b-3p	AMBP	0.0
hsa-miR-15b-3p	FGF22	0.0
hsa-miR-664b-3p	AMBP	0.0
hsa-miR-664b-3p	FGF22	0.1
hsa-miR-4697-3p	AMBP	0.0
hsa-miR-4697-3p	FGF22	0.0
hsa-miR-4645-3p	AMBP	0.0
hsa-miR-4645-3p	FGF22	0.0
hsa-miR-4458	FGF22	0.0
hsa-miR-4458	AMBP	0.0
hsa-miR-181b-5p	FGF22	0.0
hsa-miR-181b-5p	AMBP	0.0
hsa-miR-196b-5p	FGF22	0.0
hsa-miR-196b-5p	AMBP	0.0
hsa-miR-3934-3p	FGF22	0.182
hsa-miR-3934-3p	AMBP	0.183
hsa-miR-219b-5p	AMBP	0.0
hsa-miR-219b-5p	FGF22	0.0
hsa-miR-4746-3p	AMBP	0.031
hsa-miR-4746-3p	FGF22	0.584
hsa-miR-1266-5p	FGF22	0.178
hsa-miR-1266-5p	AMBP	0.057
hsa-miR-6791-5p	FGF22	0.341
hsa-miR-6791-5p	AMBP	0.0
hsa-miR-409-5p	FGF22	0.289
hsa-miR-409-5p	AMBP	0.0
hsa-miR-508-5p	FGF22	0.167
hsa-miR-508-5p	AMBP	0.157
hsa-miR-3909	AMBP	0.0
hsa-miR-3909	FGF22	0.19
hsa-miR-4504	FGF22	0.0
hsa-miR-4504	AMBP	0.0
hsa-miR-6850-5p	FGF22	0.431
hsa-miR-6850-5p	AMBP	0.004
hsa-miR-3683	FGF22	0.0
hsa-miR-3683	AMBP	0.0
hsa-miR-587	FGF22	0.0
hsa-miR-587	AMBP	0.159
hsa-miR-4417	FGF22	0.851
hsa-miR-4417	AMBP	0.611
hsa-miR-4469	AMBP	0.412
hsa-miR-4469	FGF22	0.387
hsa-miR-6804-3p	AMBP	0.0
hsa-miR-6804-3p	FGF22	0.432
hsa-miR-510-3p	FGF22	0.0
hsa-miR-510-3p	AMBP	0.0
hsa-miR-624-5p	FGF22	0.0
hsa-miR-624-5p	AMBP	0.32
hsa-miR-548ap-5p	AMBP	0.33
hsa-miR-548ap-5p	FGF22	0.0
hsa-miR-3151-3p	AMBP	0.174
hsa-miR-3151-3p	FGF22	0.705
hsa-miR-1304-5p	AMBP	0.0
hsa-miR-1304-5p	FGF22	0.0
hsa-miR-193b-5p	AMBP	0.0
hsa-miR-193b-5p	FGF22	0.35
hsa-miR-6074	FGF22	0.0
hsa-miR-6074	AMBP	0.341
hsa-miR-7155-3p	AMBP	1.145
hsa-miR-7155-3p	FGF22	0.399
hsa-miR-8087	FGF22	0.0
hsa-miR-8087	AMBP	0.0
hsa-miR-550a-5p	FGF22	0.09
hsa-miR-550a-5p	AMBP	0.248
hsa-miR-6510-5p	AMBP	0.0
hsa-miR-6510-5p	FGF22	0.543
hsa-miR-3605-5p	AMBP	0.045
hsa-miR-3605-5p	FGF22	0.0
hsa-miR-1268b	AMBP	0.615
hsa-miR-1268b	FGF22	0.544
hsa-miR-6129	FGF22	0.0
hsa-miR-6129	AMBP	0.0
hsa-miR-6857-5p	AMBP	0.0
hsa-miR-6857-5p	FGF22	0.834
hsa-miR-215-3p	AMBP	0.0
hsa-miR-215-3p	FGF22	0.141
hsa-miR-30b-3p	AMBP	0.0
hsa-miR-30b-3p	FGF22	1.01
hsa-miR-4687-3p	AMBP	0.144
hsa-miR-4687-3p	FGF22	0.345
hsa-miR-4794	FGF22	0.032
hsa-miR-4794	AMBP	0.295
hsa-miR-6727-3p	FGF22	0.93
hsa-miR-6727-3p	AMBP	0.0
hsa-miR-516a-5p	AMBP	0.0
hsa-miR-516a-5p	FGF22	0.0
hsa-miR-6806-5p	FGF22	0.0
hsa-miR-6806-5p	AMBP	0.0
hsa-miR-29b-3p	AMBP	0.0
hsa-miR-29b-3p	FGF22	0.0
hsa-miR-4713-3p	FGF22	0.548
hsa-miR-4713-3p	AMBP	0.28
hsa-miR-6755-3p	AMBP	0.0
hsa-miR-6755-3p	FGF22	0.0
hsa-miR-4433b-5p	FGF22	0.178
hsa-miR-4433b-5p	AMBP	0.0
hsa-miR-4659b-3p	AMBP	0.0
hsa-miR-4659b-3p	FGF22	0.0
hsa-miR-8052	AMBP	0.0
hsa-miR-8052	FGF22	0.255
hsa-miR-6513-5p	AMBP	0.0
hsa-miR-6513-5p	FGF22	0.0
hsa-miR-6872-5p	FGF22	1.021
hsa-miR-6872-5p	AMBP	0.0
hsa-miR-5011-5p	FGF22	0.0
hsa-miR-5011-5p	AMBP	0.0
hsa-miR-431-5p	AMBP	0.001
hsa-miR-431-5p	FGF22	0.503
hsa-miR-7974	FGF22	0.0
hsa-miR-7974	AMBP	0.0
hsa-miR-6768-5p	FGF22	0.0
hsa-miR-6768-5p	AMBP	0.0
hsa-miR-6516-3p	FGF22	0.076
hsa-miR-6516-3p	AMBP	0.0
hsa-miR-200b-3p	AMBP	0.0
hsa-miR-200b-3p	FGF22	0.0
hsa-miR-548ar-5p	AMBP	0.0
hsa-miR-548ar-5p	FGF22	0.0
hsa-miR-3201	AMBP	0.108
hsa-miR-3201	FGF22	0.0
hsa-miR-6499-5p	FGF22	0.219
hsa-miR-6499-5p	AMBP	0.252
hsa-miR-1305	FGF22	0.0
hsa-miR-1305	AMBP	0.0
hsa-miR-937-3p	FGF22	0.533
hsa-miR-937-3p	AMBP	0.0
hsa-miR-432-3p	AMBP	0.24
hsa-miR-432-3p	FGF22	0.538
hsa-miR-6870-3p	AMBP	0.0
hsa-miR-6870-3p	FGF22	0.181
hsa-miR-6510-3p	FGF22	0.5
hsa-miR-6510-3p	AMBP	0.0
hsa-miR-3660	FGF22	0.0
hsa-miR-3660	AMBP	0.0
hsa-miR-550b-3p	FGF22	0.866
hsa-miR-550b-3p	AMBP	0.0
hsa-miR-606	AMBP	0.0
hsa-miR-606	FGF22	0.0
hsa-miR-3180	AMBP	0.713
hsa-miR-3180	FGF22	0.749
hsa-miR-421	AMBP	0.0
hsa-miR-421	FGF22	0.0
hsa-miR-519e-3p	FGF22	0.0
hsa-miR-519e-3p	AMBP	0.0
hsa-miR-151a-5p	AMBP	0.0
hsa-miR-151a-5p	FGF22	0.022
hsa-miR-378g	AMBP	0.034
hsa-miR-378g	FGF22	0.382
hsa-miR-29a-5p	FGF22	0.0
hsa-miR-29a-5p	AMBP	0.0
hsa-miR-6891-3p	FGF22	0.433
hsa-miR-6891-3p	AMBP	0.0
hsa-miR-6894-3p	FGF22	0.348
hsa-miR-6894-3p	AMBP	0.317
hsa-miR-521	FGF22	0.0
hsa-miR-521	AMBP	0.0
hsa-miR-518c-5p	AMBP	0.0
hsa-miR-518c-5p	FGF22	0.199
hsa-miR-646	FGF22	0.631
hsa-miR-646	AMBP	0.0
hsa-miR-4788	FGF22	0.0
hsa-miR-4788	AMBP	0.001
hsa-miR-590-5p	AMBP	0.181
hsa-miR-590-5p	FGF22	0.0
hsa-miR-4483	AMBP	0.248
hsa-miR-4483	FGF22	0.851
hsa-miR-1281	AMBP	0.0
hsa-miR-1281	FGF22	1.305
hsa-miR-5192	FGF22	0.827
hsa-miR-5192	AMBP	0.37
hsa-miR-3657	AMBP	0.0
hsa-miR-3657	FGF22	0.0
hsa-miR-148a-3p	FGF22	0.0
hsa-miR-148a-3p	AMBP	0.0
hsa-miR-4691-5p	FGF22	0.328
hsa-miR-4691-5p	AMBP	0.0
hsa-miR-3151-5p	AMBP	0.0
hsa-miR-3151-5p	FGF22	0.313
hsa-miR-8054	AMBP	0.0
hsa-miR-8054	FGF22	0.0
hsa-miR-4482-3p	FGF22	0.0
hsa-miR-4482-3p	AMBP	0.208
hsa-miR-412-5p	AMBP	0.0
hsa-miR-6851-3p	AMBP	0.325
hsa-miR-6851-3p	FGF22	0.429
hsa-miR-6502-5p	FGF22	0.0
hsa-miR-6502-5p	AMBP	0.236
hsa-miR-2113	FGF22	0.357
hsa-miR-2113	AMBP	0.401
hsa-miR-570-3p	FGF22	0.0
hsa-miR-570-3p	AMBP	0.0
hsa-miR-6736-3p	AMBP	0.253
hsa-miR-6736-3p	FGF22	0.47
hsa-miR-4757-5p	FGF22	0.0
hsa-miR-4757-5p	AMBP	0.0
hsa-miR-3135a	FGF22	0.216
hsa-miR-3135a	AMBP	0.334
hsa-miR-324-3p	AMBP	0.923
hsa-miR-324-3p	FGF22	0.651
hsa-miR-622	AMBP	0.0
hsa-miR-622	FGF22	0.0
hsa-miR-5571-3p	AMBP	0.589
hsa-miR-5571-3p	FGF22	0.543
hsa-miR-581	AMBP	0.095
hsa-miR-581	FGF22	0.0
hsa-miR-7156-3p	FGF22	0.0
hsa-miR-7156-3p	AMBP	0.076
hsa-miR-520g-3p	FGF22	0.0
hsa-miR-520g-3p	AMBP	0.0
hsa-miR-1207-3p	AMBP	1.042
hsa-miR-1207-3p	FGF22	1.007
hsa-miR-506-3p	AMBP	0.0
hsa-miR-506-3p	FGF22	0.0
hsa-miR-6811-5p	AMBP	0.0
hsa-miR-6811-5p	FGF22	0.041
hsa-miR-6775-5p	FGF22	0.0
hsa-miR-6775-5p	AMBP	0.0
hsa-miR-6748-5p	FGF22	0.142
hsa-miR-6748-5p	AMBP	0.132
hsa-miR-1273h-3p	FGF22	0.265
hsa-miR-1273h-3p	AMBP	0.0
hsa-miR-31-3p	AMBP	0.103
hsa-miR-31-3p	FGF22	0.146
hsa-miR-676-5p	AMBP	0.0
hsa-miR-676-5p	FGF22	0.0
hsa-miR-2115-3p	FGF22	0.0
hsa-miR-2115-3p	AMBP	0.0
hsa-miR-7152-5p	AMBP	0.0
hsa-miR-7152-5p	FGF22	0.0
hsa-miR-4460	AMBP	0.0
hsa-miR-4460	FGF22	0.0
hsa-miR-5681a	AMBP	0.0
hsa-miR-5681a	FGF22	0.0
hsa-miR-3974	AMBP	0.0
hsa-miR-3974	FGF22	0.0
hsa-miR-6083	FGF22	0.308
hsa-miR-6083	AMBP	0.0
hsa-miR-7156-5p	FGF22	0.391
hsa-miR-7156-5p	AMBP	0.025
hsa-miR-6802-3p	FGF22	0.0
hsa-miR-6802-3p	AMBP	0.0
hsa-miR-6780a-5p	FGF22	0.142
hsa-miR-6780a-5p	AMBP	0.121
hsa-miR-484	FGF22	0.0
hsa-miR-484	AMBP	0.0
hsa-miR-6770-5p	FGF22	0.0
hsa-miR-6770-5p	AMBP	0.0
hsa-miR-382-3p	AMBP	0.0
hsa-miR-382-3p	FGF22	0.048
hsa-miR-4752	AMBP	0.0
hsa-miR-4752	FGF22	0.351
hsa-miR-4701-5p	FGF22	0.286
hsa-miR-4701-5p	AMBP	0.0
hsa-miR-6848-5p	AMBP	0.223
hsa-miR-6848-5p	FGF22	0.0
hsa-miR-6724-5p	FGF22	0.35
hsa-miR-6724-5p	AMBP	0.0
hsa-miR-124-3p	AMBP	0.0
hsa-miR-124-3p	FGF22	0.0
hsa-miR-3923	FGF22	0.0
hsa-miR-3923	AMBP	0.0
hsa-miR-4422	AMBP	0.0
hsa-miR-4422	FGF22	0.0
hsa-miR-96-3p	AMBP	0.0
hsa-miR-96-3p	FGF22	0.0
hsa-miR-4441	FGF22	0.0
hsa-miR-4441	AMBP	0.803
hsa-miR-4535	FGF22	0.794
hsa-miR-4535	AMBP	0.596
hsa-miR-6831-3p	AMBP	0.115
hsa-miR-6831-3p	FGF22	0.0
hsa-miR-4676-5p	AMBP	0.559
hsa-miR-4676-5p	FGF22	0.617
hsa-miR-1324	AMBP	0.0
hsa-miR-1324	FGF22	0.0
hsa-miR-320d	FGF22	0.0
hsa-miR-320d	AMBP	0.0
hsa-miR-526b-5p	AMBP	0.0
hsa-miR-526b-5p	FGF22	0.724
hsa-miR-3620-5p	FGF22	0.278
hsa-miR-3620-5p	AMBP	0.195
hsa-miR-3926	AMBP	0.0
hsa-miR-3926	FGF22	0.0
hsa-miR-95-3p	FGF22	0.0
hsa-miR-95-3p	AMBP	0.0
hsa-miR-4688	FGF22	0.0
hsa-miR-4688	AMBP	0.0
hsa-miR-222-3p	FGF22	0.077
hsa-miR-222-3p	AMBP	0.0
hsa-miR-617	FGF22	0.0
hsa-miR-617	AMBP	0.0
hsa-miR-6865-3p	FGF22	0.004
hsa-miR-6865-3p	AMBP	0.0
hsa-miR-4285	AMBP	0.0
hsa-miR-4285	FGF22	1.045
hsa-miR-1178-3p	AMBP	0.0
hsa-miR-1178-3p	FGF22	0.42
hsa-miR-4796-5p	AMBP	0.0
hsa-miR-4796-5p	FGF22	0.068
hsa-miR-1297	AMBP	0.0
hsa-miR-1297	FGF22	0.975
hsa-miR-7852-3p	FGF22	0.0
hsa-miR-7852-3p	AMBP	0.0
hsa-miR-1208	FGF22	0.587
hsa-miR-1208	AMBP	0.117
hsa-miR-4522	FGF22	0.231
hsa-miR-4522	AMBP	0.541
hsa-miR-34c-3p	AMBP	0.0
hsa-miR-34c-3p	FGF22	0.0
hsa-miR-6784-3p	AMBP	0.0
hsa-miR-6784-3p	FGF22	0.349
hsa-miR-767-3p	FGF22	0.0
hsa-miR-767-3p	AMBP	0.13
hsa-miR-6771-5p	AMBP	0.164
hsa-miR-6771-5p	FGF22	0.344
hsa-miR-6875-3p	FGF22	0.395
hsa-miR-6875-3p	AMBP	0.0
hsa-miR-1253	AMBP	0.069
hsa-miR-1253	FGF22	0.0
hsa-miR-4764-5p	AMBP	0.178
hsa-miR-4764-5p	FGF22	0.0
hsa-miR-6789-3p	FGF22	0.62
hsa-miR-6789-3p	AMBP	0.0
hsa-miR-134-3p	FGF22	0.092
hsa-miR-134-3p	AMBP	0.384
hsa-miR-936	FGF22	0.0
hsa-miR-936	AMBP	0.0
hsa-miR-921	FGF22	0.0
hsa-miR-921	AMBP	0.0
hsa-miR-193a-3p	FGF22	0.78
hsa-miR-193a-3p	AMBP	0.0
hsa-miR-1185-5p	FGF22	0.0
hsa-miR-1185-5p	AMBP	0.0
hsa-miR-6847-5p	FGF22	0.0
hsa-miR-6847-5p	AMBP	0.0
hsa-miR-1199-5p	FGF22	0.926
hsa-miR-1199-5p	AMBP	0.0
hsa-miR-4655-3p	AMBP	0.272
hsa-miR-4655-3p	FGF22	0.399
hsa-miR-6833-3p	AMBP	0.286
hsa-miR-6833-3p	FGF22	0.428
hsa-miR-1277-3p	FGF22	0.0
hsa-miR-1277-3p	AMBP	0.0
hsa-miR-4776-3p	AMBP	0.203
hsa-miR-4776-3p	FGF22	0.188
hsa-miR-1538	AMBP	0.0
hsa-miR-1538	FGF22	0.227
hsa-miR-3116	AMBP	0.019
hsa-miR-3116	FGF22	0.26
hsa-miR-208a-3p	AMBP	0.0
hsa-miR-208a-3p	FGF22	0.0
hsa-miR-30c-2-3p	AMBP	0.0
hsa-miR-30c-2-3p	FGF22	0.0
hsa-miR-30e-3p	AMBP	0.054
hsa-miR-30e-3p	FGF22	0.527
hsa-miR-149-5p	FGF22	0.081
hsa-miR-149-5p	AMBP	0.047
hsa-miR-4646-5p	AMBP	0.0
hsa-miR-4646-5p	FGF22	0.011
hsa-miR-3198	AMBP	0.0
hsa-miR-3198	FGF22	0.227
hsa-miR-221-3p	FGF22	0.0
hsa-miR-221-3p	AMBP	0.129
hsa-miR-3139	AMBP	0.004
