Function ID	Function Description
14781	L-aspartate transmembrane transporter activity [GO:0015183]
14782	L-glutamate transmembrane transporter activity [GO:0005313]
14783	L-glutamine transmembrane transporter activity [GO:0015186]
14784	L-histidine transmembrane transporter activity [GO:0005290]
14785	L-leucine transmembrane transporter activity [GO:0015190]
14786	L-methionine transmembrane transporter activity [GO:0015191]
14787	L-serine transmembrane transporter activity [GO:0015194]
14788	bicarbonate transmembrane transporter activity [GO:0015106]
14789	chloride channel activity [GO:0005254]
14790	chloride transmembrane transporter activity [GO:0015108]
14791	oxalate transmembrane transporter activity [GO:0019531]
14792	secondary active sulfate transmembrane transporter activity [GO:0008271]
14793	sulfate transmembrane transporter activity [GO:0015116]
14794	cysteine-type endopeptidase inhibitor activity [GO:0004869]
14795	deacetylase activity [GO:0019213]
14796	histone deacetylase activity [GO:0004407]
14797	NAD-dependent histone deacetylase activity (H3-K18 specific) [GO:0097372]
14798	NAD-dependent protein deacetylase activity [GO:0034979]
14799	protein-glutaryllysine deglutarylase activity [GO:0061697]
14800	protein-propionyllysine depropionylase activity [GO:0106231]
14801	protein-succinyllysine desuccinylase activity [GO:0036055]
14802	low-density lipoprotein particle receptor binding [GO:0050750]
14803	soluble NSF attachment protein activity [GO:0005483]
14804	agmatinase activity [GO:0008783]
14805	selenide, water dikinase activity [GO:0004756]
14806	cytoskeletal anchor activity [GO:0008093]
14807	D-erythro-sphingosine kinase activity [GO:0017050]
14808	lipid kinase activity [GO:0001727]
14809	NAD+ kinase activity [GO:0003951]
14810	sphinganine kinase activity [GO:0008481]
14811	sphingosine-1-phosphate receptor activity [GO:0038036]
14812	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]
14813	tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity [GO:0102524]
14814	MHC protein binding [GO:0042287]
14815	peptide antigen binding [GO:0042605]
14816	four-way junction DNA binding [GO:0000400]
14817	double-stranded telomeric DNA binding [GO:0003691]
14818	NEDD8 conjugating enzyme activity [GO:0061654]
14819	anaphase-promoting complex binding [GO:0010997]
14820	cyclin binding [GO:0030332]
14821	ubiquitin conjugating enzyme binding [GO:0031624]
14822	ubiquitin-like protein conjugating enzyme binding [GO:0044390]
14823	RNA polymerase I cis-regulatory region sequence-specific DNA binding [GO:0001165]
14824	scaffold protein binding [GO:0097110]
14825	3'-5'-exodeoxyribonuclease activity [GO:0008296]
14826	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]
14827	transition metal ion binding [GO:0046914]
14828	protein-disulfide reductase (NAD(P)) activity [GO:0047134]
14829	thioredoxin-disulfide reductase activity [GO:0004791]
14830	oxidoreductase activity, acting on NAD(P)H [GO:0016651]
14831	MHC class I protein binding [GO:0042288]
14832	general transcription initiation factor activity [GO:0140223]
14833	calcium-release channel activity [GO:0015278]
14834	temperature-gated cation channel activity [GO:0097604]
14835	NADHX epimerase activity [GO:0052856]
14836	NADPHX epimerase activity [GO:0052857]
14837	primary miRNA binding [GO:0070878]
14838	poly(A) binding [GO:0008143]
14839	poly(U) RNA binding [GO:0008266]
14840	cadherin binding involved in cell-cell adhesion [GO:0098641]
14841	mRNA 5'-UTR binding [GO:0048027]
14842	5S rRNA binding [GO:0008097]
14843	G protein-coupled opioid receptor activity [GO:0004985]
14844	ribonuclease P activity [GO:0004526]
14845	ribonuclease P RNA binding [GO:0033204]
14846	DNA topoisomerase binding [GO:0044547]
14847	single-stranded DNA endodeoxyribonuclease activity [GO:0000014]
14848	interleukin-8 receptor binding [GO:0005153]
14849	tyrosine-tRNA ligase activity [GO:0004831]
14850	I-SMAD binding [GO:0070411]
14851	Roundabout binding [GO:0048495]
14852	disordered domain specific binding [GO:0097718]
14853	tumor necrosis factor receptor superfamily binding [GO:0032813]
14854	trimethyllysine dioxygenase activity [GO:0050353]
14855	mRNA CDS binding [GO:1990715]
14856	polysome binding [GO:1905538]
14857	transforming growth factor beta receptor binding [GO:0005160]
14858	ubiquitin modification-dependent histone binding [GO:0061649]
14859	UDP-N-acetylgalactosamine diphosphorylase activity [GO:0052630]
14860	ISG15 transferase activity [GO:0042296]
14861	HLH domain binding [GO:0043398]
14862	RING-like zinc finger domain binding [GO:0071535]
14863	small protein activating enzyme binding [GO:0044388]
14864	SUMO conjugating enzyme activity [GO:0061656]
14865	transcription coregulator binding [GO:0001221]
14866	transposase activity [GO:0004803]
14867	urea channel activity [GO:0015265]
14868	urea transmembrane transporter activity [GO:0015204]
14869	water transmembrane transporter activity [GO:0005372]
14870	endodeoxyribonuclease activity [GO:0004520]
14871	TFIID-class transcription factor complex binding [GO:0001094]
14872	gamma-aminobutyric acid:proton symporter activity [GO:0015495]
14873	intronic transcription regulatory region sequence-specific DNA binding [GO:0001161]
14874	myosin heavy chain binding [GO:0032036]
14875	extracellular matrix constituent, lubricant activity [GO:0030197]
14876	H4 histone acetyltransferase activity [GO:0010485]
14877	peptide alpha-N-acetyltransferase activity [GO:0004596]
14878	peptidyl-lysine acetyltransferase activity [GO:0052858]
14879	TIR domain binding [GO:0070976]
14880	Toll binding [GO:0005121]
14881	Toll-like receptor binding [GO:0035325]
14882	methylarsonite methyltransferase activity [GO:0030792]
14883	protein methyltransferase activity [GO:0008276]
14884	protein-glutamine N-methyltransferase activity [GO:0036009]
14885	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
14886	site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]
14887	microfilament motor activity [GO:0000146]
14888	motor activity [GO:0003774]
14889	myosin light chain kinase activity [GO:0004687]
14890	cytochrome-b5 reductase activity, acting on NAD(P)H [GO:0004128]
14891	NAD binding [GO:0051287]
14892	acetylglucosaminyltransferase activity [GO:0008375]
14893	protein N-acetylglucosaminyltransferase activity [GO:0016262]
14894	protein O-GlcNAc transferase activity [GO:0097363]
14895	ionotropic glutamate receptor binding [GO:0035255]
14896	2'-5'-oligoadenylate synthetase activity [GO:0001730]
14897	acyltransferase activity [GO:0016746]
14898	G protein-coupled photoreceptor activity [GO:0008020]
14899	photoreceptor activity [GO:0009881]
14900	G protein-coupled UTP receptor activity [GO:0045030]
14901	proton channel activity [GO:0015252]
14902	glycogen binding [GO:2001069]
14903	protein serine/threonine phosphatase activity [GO:0004722]
14904	phosphoserine phosphatase activity [GO:0004647]
14905	ubiquinol-cytochrome-c reductase activity [GO:0008121]
14906	oligosaccharide binding [GO:0070492]
14907	peptidoglycan binding [GO:0042834]
14908	DNA clamp loader activity [GO:0003689]
14909	tropomyosin binding [GO:0005523]
14910	troponin C binding [GO:0030172]
14911	troponin I binding [GO:0031013]
14912	lysophosphatidic acid binding [GO:0035727]
14913	sulfatide binding [GO:0120146]
14914	tripeptidyl-peptidase activity [GO:0008240]
14915	kinetochore binding [GO:0043515]
14916	protein serine/threonine/tyrosine kinase activity [GO:0004712]
14917	threonine-type endopeptidase activity [GO:0004298]
14918	natural killer cell lectin-like receptor binding [GO:0046703]
14919	UFM1 ligase activity [GO:0061666]
14920	tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity [GO:0102522]
14921	tRNA methyltransferase activity [GO:0008175]
14922	protein-macromolecule adaptor activity [GO:0030674]
14923	pre-mRNA intronic binding [GO:0097157]
14924	pre-mRNA intronic pyrimidine-rich binding [GO:0097158]
14925	chondroitin sulfate binding [GO:0035374]
14926	peptidase activator activity involved in apoptotic process [GO:0016505]
14927	double-stranded RNA adenosine deaminase activity [GO:0003726]
14928	tRNA-specific adenosine deaminase activity [GO:0008251]
14929	epinephrine binding [GO:0051379]
14930	monoamine oxidase activity [GO:0097621]
14931	NADH binding [GO:0070404]
14932	3'-tRNA processing endoribonuclease activity [GO:0042781]
14933	monosaccharide binding [GO:0048029]
14934	ribose-5-phosphate isomerase activity [GO:0004751]
14935	tRNA-specific ribonuclease activity [GO:0004549]
14936	translation release factor activity [GO:0003747]
14937	GTPase inhibitor activity [GO:0005095]
14938	kinase inhibitor activity [GO:0019210]
14939	retinoid binding [GO:0005501]
14940	gluconolactonase activity [GO:0004341]
14941	spectrin binding [GO:0030507]
14942	signaling adaptor activity [GO:0035591]
14943	transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]
14944	aralkylamine N-acetyltransferase activity [GO:0004059]
14945	arylamine N-acetyltransferase activity [GO:0004060]
14946	type 2 galanin receptor binding [GO:0031765]
14947	type 3 galanin receptor binding [GO:0031766]
14948	aldo-keto reductase (NADP) activity [GO:0004033]
14949	sepiapterin reductase activity [GO:0004757]
14950	bisphosphoglycerate 2-phosphatase activity [GO:0004083]
14951	fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]
14952	amyloid-beta binding [GO:0001540]
14953	type II transforming growth factor beta receptor binding [GO:0005114]
14954	type III transforming growth factor beta receptor binding [GO:0034714]
14955	interleukin-7 receptor binding [GO:0005139]
14956	diacylglycerol binding [GO:0019992]
14957	G protein-coupled receptor binding [GO:0001664]
14958	dopachrome isomerase activity [GO:0004167]
14959	UDP-glucuronate decarboxylase activity [GO:0048040]
14960	acetylcholine transmembrane transporter activity [GO:0005277]
14961	HECT domain binding [GO:0032399]
14962	ATPase, acting on RNA [GO:0008186]
14963	RNA polymerase binding [GO:0070063]
14964	13-prostaglandin reductase activity [GO:0036132]
14965	15-oxoprostaglandin 13-oxidase activity [GO:0047522]
14966	4 iron, 4 sulfur cluster binding [GO:0051539]
14967	DNA-directed DNA polymerase activity [GO:0003887]
14968	benzodiazepine receptor binding [GO:0030156]
14969	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels [GO:0099626]
14970	caspase binding [GO:0089720]
14971	BMP binding [GO:0036122]
14972	transferrin receptor binding [GO:1990459]
14973	CARD domain binding [GO:0050700]
14974	JUN kinase kinase kinase activity [GO:0004706]
14975	adenosylhomocysteinase activity [GO:0004013]
14976	adenyl nucleotide binding [GO:0030554]
14977	iodide transmembrane transporter activity [GO:0015111]
14978	sodium:iodide symporter activity [GO:0008507]
14979	symporter activity [GO:0015293]
14980	O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]
14981	pyridoxal phosphate binding [GO:0030170]
14982	alkenylglycerophosphocholine hydrolase activity [GO:0047408]
14983	alkenylglycerophosphoethanolamine hydrolase activity [GO:0047409]
14984	ether hydrolase activity [GO:0016803]
14985	aryl sulfotransferase activity [GO:0004062]
14986	glycosaminoglycan binding [GO:0005539]
14987	N-acetylglucosamine-6-sulfatase activity [GO:0008449]
14988	interleukin-2 receptor binding [GO:0005134]
14989	alpha-1,4-glucosidase activity [GO:0004558]
14990	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]
14991	oligo-1,6-glucosidase activity [GO:0004574]
14992	sucrose alpha-glucosidase activity [GO:0004575]
14993	cholesterol transfer activity [GO:0120020]
14994	dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]
14995	hydroxyapatite binding [GO:0046848]
14996	structural constituent of tooth enamel [GO:0030345]
14997	dynactin binding [GO:0034452]
14998	dynein intermediate chain binding [GO:0045505]
14999	myosin tail binding [GO:0032029]
15000	opsin binding [GO:0002046]
15001	RNA cap binding [GO:0000339]
15002	DNA-binding transcription activator activity [GO:0001216]
15003	NFAT protein binding [GO:0051525]
15004	protein sequestering activity [GO:0140311]
15005	RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]
15006	STAT family protein binding [GO:0097677]
15007	glutamate-tRNA ligase activity [GO:0004818]
15008	glutamate-tRNA(Gln) ligase activity [GO:0050561]
15009	alanine-tRNA ligase activity [GO:0004813]
15010	Ser-tRNA(Ala) hydrolase activity [GO:0002196]
15011	ATP adenylyltransferase activity [GO:0003877]
15012	lysine-tRNA ligase activity [GO:0004824]
15013	nitric oxide binding [GO:0070026]
15014	peroxynitrite isomerase activity [GO:0062213]
15015	3'-5'-exoribonuclease activity [GO:0000175]
15016	poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends [GO:1990838]
15017	neurotransmitter transmembrane transporter activity [GO:0005326]
15018	TSC1-TSC2 complex binding [GO:0062078]
15019	phosphotransferase activity, alcohol group as acceptor [GO:0016773]
15020	xylulokinase activity [GO:0004856]
15021	keratin filament binding [GO:1990254]
15022	structural constituent of eye lens [GO:0005212]
15023	thyroid-stimulating hormone receptor activity [GO:0004996]
15024	steroid hormone receptor activity [GO:0003707]
15025	G protein-coupled serotonin receptor activity [GO:0004993]
15026	neurotransmitter receptor activity [GO:0030594]
15027	dipeptidyl-peptidase activity [GO:0008239]
15028	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]
15029	beta-2 adrenergic receptor binding [GO:0031698]
15030	cAMP binding [GO:0030552]
15031	heterocyclic compound binding [GO:1901363]
15032	1-phosphatidylinositol 4-kinase activity [GO:0004430]
15033	translation repressor activity [GO:0030371]
15034	translation repressor activity, mRNA regulatory element binding [GO:0000900]
15035	protein tyrosine kinase activator activity [GO:0030296]
15036	nerve growth factor binding [GO:0048406]
15037	ethanolamine-phosphate cytidylyltransferase activity [GO:0004306]
15038	CAAX-protein geranylgeranyltransferase activity [GO:0004662]
15039	protein geranylgeranyltransferase activity [GO:0004661]
15040	small molecule binding [GO:0036094]
15041	phosphatidylinositol deacylase activity [GO:0050185]
15042	platelet-derived growth factor beta-receptor activity [GO:0005019]
15043	6-phosphofructokinase activity [GO:0003872]
15044	fructose-6-phosphate binding [GO:0070095]
15045	prostaglandin E receptor activity [GO:0004957]
15046	1-acyl-2-lysophosphatidylserine acylhydrolase activity [GO:0052740]
15047	N-acyltransferase activity [GO:0016410]
15048	phosphatidylserine 1-acylhydrolase activity [GO:0052739]
15049	guanosine phosphorylase activity [GO:0047975]
15050	nucleoside binding [GO:0001882]
15051	phosphate ion binding [GO:0042301]
15052	purine nucleobase binding [GO:0002060]
15053	purine-nucleoside phosphorylase activity [GO:0004731]
15054	bent DNA binding [GO:0003681]
15055	cAMP-dependent protein kinase activity [GO:0004691]
15056	ciliary neurotrophic factor receptor binding [GO:0005127]
15057	cytokine binding [GO:0019955]
15058	cytokine receptor activity [GO:0004896]
15059	leukemia inhibitory factor receptor activity [GO:0004923]
15060	prolactin receptor activity [GO:0004925]
15061	citrate-L-glutamate ligase activity [GO:0072591]
15062	ligase activity, forming carbon-nitrogen bonds [GO:0016879]
15063	N-acetyl-L-aspartate-L-glutamate ligase activity [GO:0072590]
15064	taste receptor binding [GO:0031883]
15065	NF-kappaB binding [GO:0051059]
15066	chromatin insulator sequence binding [GO:0043035]
15067	dynein light intermediate chain binding [GO:0051959]
15068	all-trans-retinol binding [GO:1904768]
15069	small ribosomal subunit rRNA binding [GO:0070181]
15070	ADP transmembrane transporter activity [GO:0015217]
15071	ATP transmembrane transporter activity [GO:0005347]
15072	guanine nucleotide transmembrane transporter activity [GO:0001409]
15073	cyclic-GMP-AMP binding [GO:0061507]
15074	cyclic-GMP-AMP transmembrane transporter activity [GO:0140360]
15075	folate:anion antiporter activity [GO:0008518]
15076	folic acid binding [GO:0005542]
15077	folic acid transmembrane transporter activity [GO:0008517]
15078	methotrexate transmembrane transporter activity [GO:0015350]
15079	thiamine transmembrane transporter activity [GO:0015234]
15080	G protein-coupled peptide receptor activity [GO:0008528]
15081	bHLH transcription factor binding [GO:0043425]
15082	high-affinity inorganic phosphate:sodium symporter activity [GO:0005316]
15083	inorganic phosphate transmembrane transporter activity [GO:0005315]
15084	sodium:phosphate symporter activity [GO:0005436]
15085	dopamine:sodium symporter activity [GO:0005330]
15086	monoamine transmembrane transporter activity [GO:0008504]
15087	norepinephrine:sodium symporter activity [GO:0005334]
15088	organic cation transmembrane transporter activity [GO:0015101]
15089	pyrimidine nucleoside transmembrane transporter activity [GO:0015214]
15090	quaternary ammonium group transmembrane transporter activity [GO:0015651]
15091	secondary active organic cation transmembrane transporter activity [GO:0008513]
15092	toxin transmembrane transporter activity [GO:0019534]
15093	xenobiotic transmembrane transporter activity [GO:0042910]
15094	amine transmembrane transporter activity [GO:0005275]
15095	choline transmembrane transporter activity [GO:0015220]
15096	L-arginine transmembrane transporter activity [GO:0061459]
15097	carnitine transmembrane transporter activity [GO:0015226]
15098	cation:cation antiporter activity [GO:0015491]
15099	(R)-carnitine transmembrane transporter activity [GO:1901235]
15100	chloride ion binding [GO:0031404]
15101	ribitol beta-1,4-xylosyltransferase activity [GO:0120053]
15102	short-chain fatty acid transmembrane transporter activity [GO:0015636]
15103	urate transmembrane transporter activity [GO:0015143]
15104	nicotinate transmembrane transporter activity [GO:0090416]
15105	DNA binding domain binding [GO:0050692]
15106	LBD domain binding [GO:0050693]
15107	nuclear receptor activity [GO:0004879]
15108	retinoic acid-responsive element binding [GO:0044323]
15109	5'-3' DNA helicase activity [GO:0043139]
15110	ribulose-phosphate 3-epimerase activity [GO:0004750]
15111	RNA-directed 5'-3' RNA polymerase activity [GO:0003968]
15112	single-stranded RNA binding [GO:0003727]
15113	translation initiation factor binding [GO:0031369]
15114	R-SMAD binding [GO:0070412]
15115	ribonuclease III activity [GO:0004525]
15116	cholate-CoA ligase activity [GO:0047747]
15117	fatty acid transmembrane transporter activity [GO:0015245]
15118	long-chain fatty acid transporter activity [GO:0005324]
15119	long-chain fatty acid-CoA ligase activity [GO:0004467]
15120	very long-chain fatty acid-CoA ligase activity [GO:0031957]
15121	K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]
15122	UDP-galactose transmembrane transporter activity [GO:0005459]
15123	pyrimidine nucleotide-sugar transmembrane transporter activity [GO:0015165]
15124	ligand-gated sodium channel activity [GO:0015280]
15125	UDP-glucose transmembrane transporter activity [GO:0005460]
15126	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity [GO:0046964]
15127	2 iron, 2 sulfur cluster binding [GO:0051537]
15128	3 iron, 4 sulfur cluster binding [GO:0051538]
15129	succinate dehydrogenase (ubiquinone) activity [GO:0008177]
15130	ubiquinone binding [GO:0048039]
15131	copper chaperone activity [GO:0016531]
15132	UDP-xylose transmembrane transporter activity [GO:0005464]
15133	nucleotide-sugar transmembrane transporter activity [GO:0005338]
15134	L-malate dehydrogenase activity [GO:0030060]
15135	phosphoglycerate dehydrogenase activity [GO:0004617]
15136	L-serine ammonia-lyase activity [GO:0003941]
15137	L-threonine ammonia-lyase activity [GO:0004794]
15138	U1 snRNP binding [GO:1990446]
15139	sialic acid binding [GO:0033691]
15140	dihydrosphingosine-1-phosphate phosphatase activity [GO:0070780]
15141	co-SMAD binding [GO:0070410]
15142	transcription regulator inhibitor activity [GO:0140416]
15143	type I activin receptor binding [GO:0070698]
15144	type I transforming growth factor beta receptor binding [GO:0034713]
15145	activin binding [GO:0048185]
15146	N-acetylneuraminate synthase activity [GO:0050462]
15147	N-acylneuraminate cytidylyltransferase activity [GO:0008781]
15148	N-acylneuraminate-9-phosphate synthase activity [GO:0047444]
15149	beta-galactoside alpha-2,6-sialyltransferase activity [GO:0003835]
15150	BMP receptor activity [GO:0098821]
15151	cAMP response element binding protein binding [GO:0008140]
15152	sedoheptulokinase activity [GO:0050277]
15153	lactosylceramide alpha-2,3-sialyltransferase activity [GO:0047291]
15154	cell-cell adhesion mediator activity [GO:0098632]
15155	protein binding involved in heterotypic cell-cell adhesion [GO:0086080]
15156	protein tyrosine kinase binding [GO:1990782]
15157	protein-L-histidine N-tele-methyltransferase activity [GO:0018064]
15158	Hsp70 protein binding [GO:0030544]
15159	neuropeptide receptor activity [GO:0008188]
15160	histone deacetylase inhibitor activity [GO:0046811]
15161	RNA polymerase II C-terminal domain binding [GO:0099122]
15162	sphinganine-1-phosphate aldolase activity [GO:0008117]
15163	neuropeptide binding [GO:0042923]
15164	pre-mRNA branch point binding [GO:0045131]
15165	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]
15166	laminin-1 binding [GO:0043237]
15167	morphogen activity [GO:0016015]
15168	patched binding [GO:0005113]
15169	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity [GO:0052659]
15170	inositol-1,4,5-trisphosphate 5-phosphatase activity [GO:0052658]
15171	inositol-polyphosphate 5-phosphatase activity [GO:0004445]
15172	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity [GO:0034485]
15173	arginine transmembrane transporter activity [GO:0015181]
15174	L-lysine transmembrane transporter activity [GO:0015189]
15175	L-ornithine transmembrane transporter activity [GO:0000064]
15176	protein phosphatase 2B binding [GO:0030346]
15177	sodium:proton antiporter activity involved in regulation of cardiac muscle cell membrane potential [GO:0086040]
15178	sodium:sulfate symporter activity [GO:0015382]
15179	organic acid:sodium symporter activity [GO:0005343]
15180	sodium:dicarboxylate symporter activity [GO:0017153]
15181	proton-dependent oligopeptide secondary active transmembrane transporter activity [GO:0005427]
15182	tripeptide transmembrane transporter activity [GO:0042937]
15183	chemokine receptor binding [GO:0042379]
15184	phosphatidylinositol bisphosphate phosphatase activity [GO:0034593]
15185	phosphatidylinositol phosphate 4-phosphatase activity [GO:0034596]
15186	phosphatidylinositol-3-phosphatase activity [GO:0004438]
15187	phosphatidylinositol-4-phosphate phosphatase activity [GO:0043812]
15188	methanethiol oxidase activity [GO:0018549]
15189	selenium binding [GO:0008430]
15190	mitogen-activated protein kinase kinase kinase binding [GO:0031435]
15191	protein-glutamine gamma-glutamyltransferase activity [GO:0003810]
15192	C-acetyltransferase activity [GO:0016453]
15193	coenzyme A binding [GO:0120225]
15194	potassium ion binding [GO:0030955]
15195	transforming growth factor beta-activated receptor activity [GO:0005024]
15196	RNA-directed DNA polymerase activity [GO:0003964]
15197	telomerase RNA reverse transcriptase activity [GO:0003721]
15198	template-free RNA nucleotidyltransferase [GO:0098680]
15199	diamine N-acetyltransferase activity [GO:0004145]
15200	spermidine binding [GO:0019809]
15201	neuropilin binding [GO:0038191]
15202	heparan sulfate proteoglycan binding [GO:0043395]
15203	selenocysteine insertion sequence binding [GO:0035368]
15204	translation elongation factor activity [GO:0003746]
15205	acyl carnitine transmembrane transporter activity [GO:0015227]
15206	E-box binding [GO:0070888]
15207	histone methyltransferase activity (H4-K20 specific) [GO:0042799]
15208	channel regulator activity [GO:0016247]
15209	spermidine synthase activity [GO:0004766]
15210	syntaxin-3 binding [GO:0030348]
15211	cyclic-di-GMP binding [GO:0035438]
15212	oxidoreductase activity, acting on a sulfur group of donors [GO:0016667]
15213	sulfiredoxin activity [GO:0032542]
15214	mitochondrion targeting sequence binding [GO:0030943]
15215	porin activity [GO:0015288]
15216	preprotein binding [GO:0070678]
15217	potassium channel regulator activity [GO:0015459]
15218	ubiquitin-specific protease binding [GO:1990381]
15219	bile acid binding [GO:0032052]
15220	CCR5 chemokine receptor binding [GO:0031730]
15221	histone acetyltransferase binding [GO:0035035]
15222	myosin binding [GO:0017022]
15223	ABC-type peptide antigen transporter activity [GO:0015433]
15224	ABC-type peptide transporter activity [GO:0015440]
15225	ATPase-coupled transmembrane transporter activity [GO:0042626]
15226	MHC class Ib protein binding [GO:0023029]
15227	peptide transmembrane transporter activity [GO:1904680]
15228	TAP1 binding [GO:0046978]
15229	TAP2 binding [GO:0046979]
15230	aryl hydrocarbon receptor binding [GO:0017162]
15231	neurexin family protein binding [GO:0042043]
15232	CCR chemokine receptor binding [GO:0048020]
15233	chemokine activity [GO:0008009]
15234	CX3C chemokine receptor binding [GO:0031737]
15235	CXCR1 chemokine receptor binding [GO:0045237]
15236	chromo shadow domain binding [GO:0070087]
15237	Krueppel-associated box domain binding [GO:0035851]
15238	core promoter sequence-specific DNA binding [GO:0001046]
15239	calmodulin-dependent protein kinase activity [GO:0004683]
15240	ornithine decarboxylase inhibitor activity [GO:0008073]
15241	11-cis retinal binding [GO:0005502]
15242	all-trans retinal binding [GO:0005503]
15243	dinucleotide insertion or deletion binding [GO:0032139]
15244	DNA polymerase processivity factor activity [GO:0030337]
15245	MutLalpha complex binding [GO:0032405]
15246	purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]
15247	phosphatidylinositol phospholipase C activity [GO:0004435]
15248	thrombin-activated receptor activity [GO:0015057]
15249	beta-endorphin receptor activity [GO:0004979]
15250	filamin binding [GO:0031005]
15251	G-protein beta-subunit binding [GO:0031681]
15252	morphine receptor activity [GO:0038047]
15253	voltage-gated calcium channel activity [GO:0005245]
15254	cation binding [GO:0043169]
15255	poly(A)-specific ribonuclease activity [GO:0004535]
15256	membrane insertase activity [GO:0032977]
15257	mitochondrial ribosome binding [GO:0097177]
15258	acetyl-CoA binding [GO:1905502]
15259	pantothenate kinase activity [GO:0004594]
15260	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]
15261	lyase activity [GO:0016829]
15262	vascular endothelial growth factor receptor 2 binding [GO:0043184]
15263	MDM2/MDM4 family protein binding [GO:0097371]
15264	protein serine/threonine phosphatase inhibitor activity [GO:0004865]
15265	ErbB-3 class receptor binding [GO:0043125]
15266	insulin binding [GO:0043559]
15267	insulin receptor substrate binding [GO:0043560]
15268	insulin-like growth factor receptor binding [GO:0005159]
15269	neurotrophin TRKA receptor binding [GO:0005168]
15270	phosphatidylinositol 3-kinase binding [GO:0043548]
15271	phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]
15272	calcium- and calmodulin-regulated 3',5'-cyclic-GMP phosphodiesterase activity [GO:0048101]
15273	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity [GO:0004117]
15274	platelet-activating factor acetyltransferase activity [GO:0047179]
15275	cGMP-stimulated cyclic-nucleotide phosphodiesterase activity [GO:0004118]
15276	TPR domain binding [GO:0030911]
15277	L-ascorbic acid binding [GO:0031418]
15278	12-hydroxyheptadecatrienoic acid synthase activity [GO:0036134]
15279	dioxygenase activity [GO:0051213]
15280	prostaglandin-endoperoxide synthase activity [GO:0004666]
15281	phosphorylase kinase activity [GO:0004689]
15282	SUMO ligase activity [GO:0061665]
15283	3'-5' exonuclease activity [GO:0008408]
15284	exodeoxyribonuclease III activity [GO:0008853]
15285	D1 dopamine receptor binding [GO:0031748]
15286	O-acyltransferase activity [GO:0008374]
15287	poly(G) binding [GO:0034046]
15288	polyribonucleotide nucleotidyltransferase activity [GO:0004654]
15289	phospholipase C activity [GO:0004629]
15290	telomerase inhibitor activity [GO:0010521]
15291	N-methyltransferase activity [GO:0008170]
15292	phenylethanolamine N-methyltransferase activity [GO:0004603]
15293	procollagen-lysine 5-dioxygenase activity [GO:0008475]
15294	acylglycerol O-acyltransferase activity [GO:0016411]
15295	lipoprotein lipase activity [GO:0004465]
15296	retinyl-palmitate esterase activity [GO:0050253]
15297	triglyceride lipase activity [GO:0004806]
15298	phospholipase activity [GO:0004620]
15299	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
15300	diolein transacylation activity [GO:0051265]
15301	long-chain fatty acyl-CoA binding [GO:0036042]
15302	lysophosphatidic acid acyltransferase activity [GO:0042171]
15303	mono-olein transacylation activity [GO:0051264]
15304	recombination hotspot binding [GO:0010844]
15305	1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184]
15306	aspartic-type endopeptidase inhibitor activity [GO:0019828]
15307	cupric ion binding [GO:1903135]
15308	cuprous ion binding [GO:1903136]
15309	type 5 metabotropic glutamate receptor binding [GO:0031802]
15310	5-amino-4-imidazole carboxylate lyase activity [GO:0043727]
15311	phosphoribosylaminoimidazole carboxylase activity [GO:0004638]
15312	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]
15313	purine-rich negative regulatory element binding [GO:0032422]
15314	peptidase activator activity [GO:0016504]
15315	glucose binding [GO:0005536]
15316	glycogen phosphorylase activity [GO:0008184]
15317	linear malto-oligosaccharide phosphorylase activity [GO:0102250]
15318	SHG alpha-glucan phosphorylase activity [GO:0102499]
15319	vitamin binding [GO:0019842]
15320	ubiquitin-like protein transferase activity [GO:0019787]
