	ID_Geneontology_cellularcomponent__	Gene ontology (cellular component)
4193	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	4193
4194	dendrite [GO:0030425]; filopodium tip [GO:0032433]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nuclear speck [GO:0016607]; nucleus [GO:0005634]	4194
4195	centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]; Z disc [GO:0030018]	4195
4196	membrane [GO:0016020]; recycling endosome membrane [GO:0055038]	4196
4197	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]	4197
4198	endosome membrane [GO:0010008]; membrane [GO:0016020]; ruffle [GO:0001726]	4198
4199	blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibrinogen complex [GO:0005577]; platelet alpha granule lumen [GO:0031093]	4199
4200	acetylcholine-gated channel complex [GO:0005892]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]	4200
4201	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]	4201
4202	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]	4202
4203	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]	4203
4204	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; spindle [GO:0005819]	4204
4205	clathrin-coated endocytic vesicle membrane [GO:0030669]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	4205
4206	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]	4206
4207	cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]	4207
4208	extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]	4208
4209	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; membrane raft [GO:0045121]; protein phosphatase type 2A complex [GO:0000159]	4209
4210	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]	4210
4211	cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleoplasm [GO:0005654]; protein phosphatase type 2A complex [GO:0000159]	4211
4212	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; external side of apical plasma membrane [GO:0098591]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; mitochondrial membrane [GO:0031966]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	4212
4213	Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; vesicle [GO:0031982]	4213
4214	azurophil granule membrane [GO:0035577]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; desmosome [GO:0030057]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	4214
4215	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; lamellipodium [GO:0030027]; stress fiber [GO:0001725]	4215
4216	acetylcholine-gated channel complex [GO:0005892]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic specialization membrane [GO:0099060]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]	4216
4217	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	4217
4218	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; stress fiber [GO:0001725]	4218
4219	axon [GO:0030424]; chaperone complex [GO:0101031]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic microtubule [GO:1901588]	4219
4220	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	4220
4221	cell junction [GO:0030054]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; distal axon [GO:0150034]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; presynaptic active zone [GO:0048786]; synaptic vesicle [GO:0008021]	4221
4222	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]	4222
4223	blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; melanosome [GO:0042470]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; vesicle [GO:0031982]	4223
4224	chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	4224
4225	endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	4225
4226	cytosol [GO:0005829]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; integral component of Golgi membrane [GO:0030173]; membrane [GO:0016020]; SNARE complex [GO:0031201]	4226
4227	acetylcholine-gated channel complex [GO:0005892]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]	4227
4228	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]	4228
4229	aryl hydrocarbon receptor complex [GO:0034751]; chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	4229
4230	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; PML body [GO:0016605]; ribonucleoprotein complex [GO:1990904]	4230
4231	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	4231
4232	bicellular tight junction [GO:0005923]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]	4232
4233	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	4233
4234	extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; neuronal cell body [GO:0043025]	4234
4235	azurophil granule membrane [GO:0035577]; chromaffin granule membrane [GO:0042584]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; organelle membrane [GO:0031090]; phospholipid-translocating ATPase complex [GO:1990531]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; trans-Golgi network [GO:0005802]	4235
4236	apical plasma membrane [GO:0016324]; endolysosome lumen [GO:0036021]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]	4236
4237	growth cone [GO:0030426]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; secretory granule [GO:0030141]; synaptic vesicle membrane [GO:0030672]	4237
4238	cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; membrane [GO:0016020]	4238
4239	COPI-coated vesicle [GO:0030137]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endosome [GO:0005768]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; lysosome [GO:0005764]; membrane [GO:0016020]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]	4239
4240	adherens junction [GO:0005912]; catenin complex [GO:0016342]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic specialization membrane [GO:0099060]; integral component of presynaptic active zone membrane [GO:0099059]; plasma membrane [GO:0005886]	4240
4241	cytoplasm [GO:0005737]; sperm midpiece [GO:0097225]	4241
4242	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749]; mitochondrion [GO:0005739]	4242
4243	basolateral plasma membrane [GO:0016323]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]	4243
4244	catenin complex [GO:0016342]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; stereocilium [GO:0032420]	4244
4245	catenin complex [GO:0016342]; integral component of membrane [GO:0016021]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]	4245
4246	cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	4246
4247	centriole [GO:0005814]; centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]	4247
4248	FANCM-MHF complex [GO:0071821]; Fanconi anaemia nuclear complex [GO:0043240]; kinetochore [GO:0000776]; nucleoplasm [GO:0005654]	4248
4249	adherens junction [GO:0005912]; basement membrane [GO:0005604]; basolateral plasma membrane [GO:0016323]; collagen-containing extracellular matrix [GO:0062023]; contractile ring [GO:0070938]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dystroglycan complex [GO:0016011]; dystrophin-associated glycoprotein complex [GO:0016010]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi lumen [GO:0005796]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; node of Ranvier [GO:0033268]; nuclear periphery [GO:0034399]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic cytosol [GO:0099524]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]	4249
4250	cell surface [GO:0009986]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]	4250
4251	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]	4251
4252	mediator complex [GO:0016592]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	4252
4253	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]	4253
4254	cell-cell junction [GO:0005911]; cornified envelope [GO:0001533]; desmosome [GO:0030057]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	4254
4255	centrosome [GO:0005813]; cytoplasm [GO:0005737]; inhibitory synapse [GO:0060077]; plasma membrane [GO:0005886]	4255
4256	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell projection [GO:0042995]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lamellipodium membrane [GO:0031258]; macrophage migration inhibitory factor receptor complex [GO:0035692]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	4256
4257	centriolar subdistal appendage [GO:0120103]; centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]	4257
4258	centrosome [GO:0005813]; cytoplasm [GO:0005737]; pericentriolar material [GO:0000242]	4258
4259	cilium [GO:0005929]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; nucleus [GO:0005634]	4259
4260	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi membrane [GO:0000139]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]	4260
4261	cytosol [GO:0005829]; membrane [GO:0016020]; synapse [GO:0045202]	4261
4262	apical plasma membrane [GO:0016324]; brush border [GO:0005903]; brush border membrane [GO:0031526]; cell junction [GO:0030054]; extracellular exosome [GO:0070062]; microvillus membrane [GO:0031528]; spanning component of plasma membrane [GO:0044214]	4262
4263	extracellular space [GO:0005615]; stereocilium tip [GO:0032426]	4263
4264	endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]	4264
4265	cytoplasmic side of plasma membrane [GO:0009898]; ESCRT III complex [GO:0000815]; multivesicular body [GO:0005771]	4265
4266	CD95 death-inducing signaling complex [GO:0031265]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; membrane raft [GO:0045121]; ripoptosome [GO:0097342]	4266
4267	chromatin [GO:0000785]; chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	4267
4268	cytoplasm [GO:0005737]; growth cone [GO:0030426]; membrane [GO:0016020]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; protein kinase 5 complex [GO:0016533]	4268
4269	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; intrinsic component of plasma membrane [GO:0031226]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sperm midpiece [GO:0097225]	4269
4270	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	4270
4271	Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	4271
4272	Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; integral component of endoplasmic reticulum membrane [GO:0030176]	4272
4273	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]	4273
4274	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; membrane [GO:0016020]; microtubule [GO:0005874]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; myelin sheath abaxonal region [GO:0035748]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]; synapse [GO:0045202]	4274
4275	azurophil granule lumen [GO:0035578]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	4275
4276	condensed chromosome [GO:0000793]; condensed chromosome, centromeric region [GO:0000779]; condensin complex [GO:0000796]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]	4276
4277	chromatin [GO:0000785]; cytosol [GO:0005829]	4277
4278	chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]	4278
4279	cytosol [GO:0005829]; extracellular region [GO:0005576]	4279
4280	integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	4280
4281	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; nucleus [GO:0005634]	4281
4282	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]; Nem1-Spo7 phosphatase complex [GO:0071595]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]	4282
4283	collagen-containing extracellular matrix [GO:0062023]; collagen type XI trimer [GO:0005592]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	4283
4284	chloride channel complex [GO:0034707]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]	4284
4285	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extrinsic component of postsynaptic density membrane [GO:0099147]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]	4285
4286	extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; zymogen granule membrane [GO:0042589]	4286
4287	apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]	4287
4288	endomembrane system [GO:0012505]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	4288
4289	chromatin [GO:0000785]; chromatoid body [GO:0033391]; chromosome [GO:0005694]; CLOCK-BMAL transcription complex [GO:1990513]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]	4289
4290	CCR4-NOT complex [GO:0030014]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]	4290
4291	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]	4291
4292	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nucleoplasm [GO:0005654]; SCF ubiquitin ligase complex [GO:0019005]	4292
4293	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; SCF ubiquitin ligase complex [GO:0019005]	4293
4294	cytosol [GO:0005829]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; mitochondrial matrix [GO:0005759]	4294
4295	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]	4295
4296	Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; membrane [GO:0016020]	4296
4297	extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	4297
4298	clathrin-coated endocytic vesicle [GO:0045334]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; coated vesicle [GO:0030135]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; late endosome [GO:0005770]; membrane [GO:0016020]; sorting endosome [GO:0097443]; spindle [GO:0005819]; trans-Golgi network [GO:0005802]	4298
4299	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; collagen type IV trimer [GO:0005587]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]	4299
4300	endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]	4300
4301	cytoplasm [GO:0005737]; delta DNA polymerase complex [GO:0043625]; nucleoplasm [GO:0005654]; zeta DNA polymerase complex [GO:0016035]	4301
4302	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]	4302
4303	cell leading edge [GO:0031252]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	4303
4304	blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	4304
4305	apical part of cell [GO:0045177]; cell leading edge [GO:0031252]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	4305
4306	epsilon DNA polymerase complex [GO:0008622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	4306
4307	anchored component of membrane [GO:0031225]; apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; microvillus membrane [GO:0031528]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	4307
4308	cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; early phagosome [GO:0032009]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; intracellular vesicle [GO:0097708]; macropinosome [GO:0044354]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; vesicle membrane [GO:0012506]	4308
4309	collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; EMILIN complex [GO:1990971]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integrin alpha4-beta1 complex [GO:0034668]	4309
4310	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]	4310
4311	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	4311
4312	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]	4312
4313	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	4313
4314	dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; postsynapse [GO:0098794]; presynapse [GO:0098793]	4314
4315	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; lamellipodium membrane [GO:0031258]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; ruffle membrane [GO:0032587]; vesicle [GO:0031982]	4315
4316	endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	4316
4317	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]	4317
4318	connexin complex [GO:0005922]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	4318
4319	axonal growth cone [GO:0044295]; central region of growth cone [GO:0090724]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; filopodium tip [GO:0032433]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; mRNA cap binding complex [GO:0005845]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; peripheral region of growth cone [GO:0090725]; ruffle [GO:0001726]; SCAR complex [GO:0031209]; secretory granule lumen [GO:0034774]; specific granule lumen [GO:0035580]; synapse [GO:0045202]; terminal bouton [GO:0043195]; tertiary granule lumen [GO:1904724]	4319
4320	actin filament [GO:0005884]; apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; connexin complex [GO:0005922]; cytosol [GO:0005829]; gap junction [GO:0005921]; integral component of membrane [GO:0016021]	4320
4321	cleavage body [GO:0071920]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]	4321
4322	mRNA cleavage stimulating factor complex [GO:0005848]; nucleoplasm [GO:0005654]	4322
4323	extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	4323
4324	centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle [GO:0005819]; spindle pole [GO:0000922]	4324
4325	acrosomal vesicle [GO:0001669]; CatSper complex [GO:0036128]; endoplasmic reticulum [GO:0005783]; motile cilium [GO:0031514]; plasma membrane [GO:0005886]	4325
4326	actin filament [GO:0005884]; cytoplasm [GO:0005737]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]	4326
4327	Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]	4327
