	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
4362	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; NF-kappaB-inducing kinase activity [GO:0004704]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	4362
4363	2'-deoxyadenosine deaminase activity [GO:0046936]; adenosine deaminase activity [GO:0004000]; purine nucleoside binding [GO:0001883]; zinc ion binding [GO:0008270]	4363
4364	ATP binding [GO:0005524]; butyrate-CoA ligase activity [GO:0047760]; long-chain fatty acid-CoA ligase activity [GO:0004467]; medium-chain fatty acid-CoA ligase activity [GO:0031956]	4364
4365	DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]	4365
4366	cysteamine dioxygenase activity [GO:0047800]; metal ion binding [GO:0046872]	4366
4367	beta3-adrenergic receptor activity [GO:0015052]; beta-adrenergic receptor activity [GO:0004939]; epinephrine binding [GO:0051379]; G protein-coupled receptor activity [GO:0004930]; protein homodimerization activity [GO:0042803]	4367
4368	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	4368
4369	dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]; oligosaccharyl transferase activity [GO:0004576]	4369
4370	aminophospholipid flippase activity [GO:0015247]	4370
4371	alpha-1,2-mannosyltransferase activity [GO:0000026]; dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052926]; dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052918]; mannosyltransferase activity [GO:0000030]	4371
4372	holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]	4372
4373	ADP-specific glucokinase activity [GO:0043843]; metal ion binding [GO:0046872]	4373
4374	alpha-2A adrenergic receptor binding [GO:0031694]; beta1-adrenergic receptor activity [GO:0004940]; beta-adrenergic receptor activity [GO:0004939]; G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099579]; G protein-coupled receptor activity [GO:0004930]; guanyl-nucleotide exchange factor activity [GO:0005085]; PDZ domain binding [GO:0030165]; protein heterodimerization activity [GO:0046982]	4374
4375	magnesium ion binding [GO:0000287]; phosphoacetylglucosamine mutase activity [GO:0004610]; phosphoglucomutase activity [GO:0004614]	4375
4376	GTP binding [GO:0005525]; guanyl-nucleotide exchange factor activity [GO:0005085]; lipid binding [GO:0008289]	4376
4377	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; calcium ion binding [GO:0005509]; peptidase activity [GO:0008233]	4377
4378	amyloid-beta binding [GO:0001540]; chromatin binding [GO:0003682]; DNA-binding transcription factor binding [GO:0140297]; histone binding [GO:0042393]; low-density lipoprotein particle receptor binding [GO:0050750]; proline-rich region binding [GO:0070064]; protein-containing complex binding [GO:0044877]; tau protein binding [GO:0048156]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase binding [GO:0031625]	4378
4379	CARD domain binding [GO:0050700]; cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]	4379
4380	arginase activity [GO:0004053]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]	4380
4381	amyloid-beta binding [GO:0001540]; low-density lipoprotein particle receptor binding [GO:0050750]	4381
4382	disordered domain specific binding [GO:0097718]; DNA binding [GO:0003677]; MDM2/MDM4 family protein binding [GO:0097371]; p53 binding [GO:0002039]; SUMO transferase activity [GO:0019789]; transcription factor binding [GO:0008134]; ubiquitin ligase inhibitor activity [GO:1990948]; ubiquitin-protein transferase inhibitor activity [GO:0055105]	4382
4383	cullin family protein binding [GO:0097602]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-ubiquitin ligase activity [GO:0034450]; zinc ion binding [GO:0008270]	4383
4384	DNA binding [GO:0003677]; nuclear receptor binding [GO:0016922]; transcription coactivator activity [GO:0003713]	4384
4385	guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	4385
4386	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; transcription coregulator activity [GO:0003712]	4386
4387	inorganic diphosphate transmembrane transporter activity [GO:0030504]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transmembrane transporter activity [GO:0015114]	4387
4388	protein phosphatase 2A binding [GO:0051721]; protein phosphatase regulator activity [GO:0019888]	4388
4389	DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA binding [GO:0003677]; double-stranded DNA 3'-5' exodeoxyribonuclease activity [GO:0008311]; endonuclease activity [GO:0004519]; phosphodiesterase I activity [GO:0004528]; zinc ion binding [GO:0008270]	4389
4390	alpha-tubulin binding [GO:0043014]; beta-tubulin binding [GO:0048487]; GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	4390
4391	androgen receptor binding [GO:0050681]; estrogen receptor binding [GO:0030331]; histone-arginine N-methyltransferase activity [GO:0008469]; histone methyltransferase activity [GO:0042054]; peroxisome proliferator activated receptor binding [GO:0042975]; progesterone receptor binding [GO:0033142]; protein-arginine N-methyltransferase activity [GO:0016274]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; retinoic acid receptor binding [GO:0042974]; thyroid hormone receptor binding [GO:0046966]; transcription coactivator activity [GO:0003713]	4391
4392	high voltage-gated calcium channel activity [GO:0008331]; voltage-gated calcium channel activity [GO:0005245]	4392
4393	protein-arginine N-methyltransferase activity [GO:0016274]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]; protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]	4393
4394	endogenous lipid antigen binding [GO:0030883]; exogenous lipid antigen binding [GO:0030884]; glycolipid binding [GO:0051861]; lipopeptide binding [GO:0071723]	4394
4395	fibroblast growth factor binding [GO:0017134]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]	4395
4396	monoamine oxidase activity [GO:0097621]; primary amine oxidase activity [GO:0008131]	4396
4397	aliphatic-amine oxidase activity [GO:0052595]; aminoacetone:oxygen oxidoreductase(deaminating) activity [GO:0052594]; calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; identical protein binding [GO:0042802]; phenethylamine:oxygen oxidoreductase (deaminating) activity [GO:0052596]; primary amine oxidase activity [GO:0008131]; protein heterodimerization activity [GO:0046982]; quinone binding [GO:0048038]; tryptamine:oxygen oxidoreductase (deaminating) activity [GO:0052593]	4397
4398	cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; transmembrane signaling receptor activity [GO:0004888]	4398
4399	N-acyltransferase activity [GO:0016410]; sphingosine N-acyltransferase activity [GO:0050291]	4399
4400	chaperone binding [GO:0051087]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; Hsp70 protein binding [GO:0030544]; protein-containing complex binding [GO:0044877]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; protein phosphatase binding [GO:0019903]	4400
4401	aminopeptidase activity [GO:0004177]; epoxide hydrolase activity [GO:0004301]; metalloaminopeptidase activity [GO:0070006]; metalloexopeptidase activity [GO:0008235]; zinc ion binding [GO:0008270]	4401
4402	AMP deaminase activity [GO:0003876]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	4402
4403	C-4 methylsterol oxidase activity [GO:0000254]; cholesterol 25-hydroxylase activity [GO:0001567]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; steroid hydroxylase activity [GO:0008395]	4403
4404	clathrin binding [GO:0030276]; protein kinase binding [GO:0019901]	4404
4405	histone binding [GO:0042393]; RNA polymerase binding [GO:0070063]	4405
4406	chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; Hsp90 protein binding [GO:0051879]; kinase binding [GO:0019900]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; scaffold protein binding [GO:0097110]; unfolded protein binding [GO:0051082]	4406
4407	cargo adaptor activity [GO:0140312]; clathrin adaptor activity [GO:0035615]; low-density lipoprotein particle receptor binding [GO:0050750]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; protein kinase binding [GO:0019901]	4407
4408	cholesterol binding [GO:0015485]; lipid transporter activity [GO:0005319]; signaling receptor binding [GO:0005102]	4408
4409	antioxidant activity [GO:0016209]; lipid transporter activity [GO:0005319]; phospholipid binding [GO:0005543]	4409
4410	centromeric DNA binding [GO:0019237]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]	4410
4411	cholesterol transfer activity [GO:0120020]; heparin binding [GO:0008201]; lipase binding [GO:0035473]; low-density lipoprotein particle receptor binding [GO:0050750]; phospholipid binding [GO:0005543]	4411
4412	antioxidant activity [GO:0016209]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; copper ion binding [GO:0005507]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; phosphatidylcholine binding [GO:0031210]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein homodimerization activity [GO:0042803]	4412
4413	lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]	4413
4414	high-density lipoprotein particle binding [GO:0008035]; lipid binding [GO:0008289]	4414
4415	heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]	4415
4416	metal ion binding [GO:0046872]; phosphatidylinositol phosphate binding [GO:1901981]; small GTPase binding [GO:0031267]	4416
4417	sterol transporter activity [GO:0015248]	4417
4418	ATPase-coupled cation transmembrane transporter activity [GO:0019829]; ATP binding [GO:0005524]; calcium-dependent protein binding [GO:0048306]; calcium ion transmembrane transporter activity [GO:0015085]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872]; nitric-oxide synthase binding [GO:0050998]; nitric-oxide synthase inhibitor activity [GO:0036487]; PDZ domain binding [GO:0030165]; protein kinase binding [GO:0019901]; protein phosphatase 2B binding [GO:0030346]; P-type calcium transporter activity [GO:0005388]; scaffold protein binding [GO:0097110]; sodium channel regulator activity [GO:0017080]	4418
4419	ABC-type manganese transporter activity [GO:0015410]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; P-type manganese transporter activity [GO:0140613]; P-type proton-exporting transporter activity [GO:0008553]	4419
4420	cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]; scaffold protein binding [GO:0097110]	4420
4421	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; peroxisome proliferator activated receptor binding [GO:0042975]; retinoic acid receptor binding [GO:0042974]; transcription coactivator activity [GO:0003713]	4421
4422	ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATP binding [GO:0005524]; ion transmembrane transporter activity [GO:0015075]; magnesium ion binding [GO:0000287]	4422
4423	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; tubulin N-acetyltransferase activity [GO:0019799]	4423
4424	ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATP binding [GO:0005524]; glycosylceramide flippase activity [GO:0140351]; magnesium ion binding [GO:0000287]	4424
4425	identical protein binding [GO:0042802]; NF-kappaB binding [GO:0051059]; p53 binding [GO:0002039]; SH3 domain binding [GO:0017124]	4425
4426	cysteinyl leukotriene receptor activity [GO:0001631]; G protein-coupled peptide receptor activity [GO:0008528]; leukotriene receptor activity [GO:0004974]	4426
4427	ion channel activity [GO:0005216]; ligand-gated sodium channel activity [GO:0015280]; sodium ion transmembrane transporter activity [GO:0015081]	4427
4428	aryl hydrocarbon receptor binding [GO:0017162]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription factor binding [GO:0008134]	4428
4429	citrate (Si)-synthase activity [GO:0004108]; RNA binding [GO:0003723]	4429
4430	armadillo repeat domain binding [GO:0070016]; beta-catenin binding [GO:0008013]	4430
4431	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	4431
4432	carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]	4432
4433	calmodulin binding [GO:0005516]; cAMP binding [GO:0030552]; cGMP binding [GO:0030553]; intracellular cAMP-activated cation channel activity [GO:0005222]; intracellular cGMP-activated cation channel activity [GO:0005223]	4433
4434	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; glycolipid binding [GO:0051861]; pattern recognition receptor activity [GO:0038187]	4434
4435	carbohydrate binding [GO:0030246]; mannose binding [GO:0005537]	4435
4436	carbohydrate binding [GO:0030246]; virus receptor activity [GO:0001618]	4436
4437	angiotensin type II receptor activity [GO:0004945]; identical protein binding [GO:0042802]	4437
4438	actin binding [GO:0003779]; cadherin binding involved in cell-cell adhesion [GO:0098641]; calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]	4438
4439	K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]	4439
4440	ATP binding [GO:0005524]; magnesium ion transmembrane transporter activity [GO:0015095]; transmembrane transporter activity [GO:0022857]	4440
4441	carbohydrate binding [GO:0030246]; complement binding [GO:0001848]; endopeptidase inhibitor activity [GO:0004866]	4441
4442	chloride channel activity [GO:0005254]; glutathione peroxidase activity [GO:0004602]; voltage-gated ion channel activity [GO:0005244]	4442
4443	angiostatin binding [GO:0043532]; ATP binding [GO:0005524]; MHC class I protein binding [GO:0042288]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	4443
4444	enzyme binding [GO:0019899]; identical protein binding [GO:0042802]	4444
4445	extracellular matrix structural constituent [GO:0005201]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	4445
4446	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; protein C-terminus binding [GO:0008022]; protein self-association [GO:0043621]	4446
4447	identical protein binding [GO:0042802]; protein C-terminus binding [GO:0008022]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]	4447
4448	arachidonic acid epoxygenase activity [GO:0008392]; aromatase activity [GO:0070330]; caffeine oxidase activity [GO:0034875]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; retinoic acid 4-hydroxylase activity [GO:0008401]; steroid hydroxylase activity [GO:0008395]	4448
4449	aspartate 1-decarboxylase activity [GO:0004068]; pyridoxal phosphate binding [GO:0030170]; sulfinoalanine decarboxylase activity [GO:0004782]	4449
4450	arachidonic acid epoxygenase activity [GO:0008392]; aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; oxygen binding [GO:0019825]; retinoic acid 4-hydroxylase activity [GO:0008401]; steroid hydroxylase activity [GO:0008395]	4450
4451	(R)-limonene 6-monooxygenase activity [GO:0052741]; (S)-limonene 6-monooxygenase activity [GO:0018675]; (S)-limonene 7-monooxygenase activity [GO:0018676]; arachidonic acid epoxygenase activity [GO:0008392]; aromatase activity [GO:0070330]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; oxygen binding [GO:0019825]; steroid hydroxylase activity [GO:0008395]	4451
4452	galactose binding [GO:0005534]; low-density lipoprotein particle binding [GO:0030169]; metal ion binding [GO:0046872]; pattern recognition receptor activity [GO:0038187]; scavenger receptor activity [GO:0005044]	4452
4453	aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; steroid hydroxylase activity [GO:0008395]	4453
4454	ATPase binding [GO:0051117]; identical protein binding [GO:0042802]; Lys48-specific deubiquitinase activity [GO:1990380]; Lys63-specific deubiquitinase activity [GO:0061578]; thiol-dependent deubiquitinase [GO:0004843]; ubiquitin protein ligase binding [GO:0031625]	4454
4455	neurotransmitter transmembrane transporter activity [GO:0005326]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]	4455
4456	ATPase activator activity [GO:0001671]; P-type potassium:proton transporter activity [GO:0008900]	4456
4457	ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; kinase binding [GO:0019900]; metal ion binding [GO:0046872]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	4457
4458	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; nuclear receptor activity [GO:0004879]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]	4458
4459	hedgehog receptor activity [GO:0008158]	4459
4460	cysteine-type endopeptidase inhibitor activity [GO:0004869]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]	4460
4461	identical protein binding [GO:0042802]; lamin binding [GO:0005521]; protein homodimerization activity [GO:0042803]	4461
4462	calcium ion binding [GO:0005509]; exopolyphosphatase activity [GO:0004309]; GTPase activator activity [GO:0005096]	4462
4463	GTPase binding [GO:0051020]	4463
4464	iron-sulfur cluster binding [GO:0051536]	4464
4465	GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein kinase A regulatory subunit binding [GO:0034237]	4465
4466	BMP receptor binding [GO:0070700]; co-receptor binding [GO:0039706]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; phosphatase activator activity [GO:0019211]; protein serine/threonine kinase activator activity [GO:0043539]; signaling receptor binding [GO:0005102]; SMAD binding [GO:0046332]; transcription regulator activator activity [GO:0140537]	4466
4467	betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270]	4467
4468	carnosine N-methyltransferase activity [GO:0030735]; protein homodimerization activity [GO:0042803]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	4468
4469	3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]; metal ion binding [GO:0046872]	4469
4470	hormone activity [GO:0005179]; protein-containing complex binding [GO:0044877]; signaling receptor binding [GO:0005102]	4470
4471	collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; fibronectin binding [GO:0001968]; histone binding [GO:0042393]; proteoglycan binding [GO:0043394]; serpin family protein binding [GO:0097655]	4471
4472	serine-type endopeptidase inhibitor activity [GO:0004867]; steroid binding [GO:0005496]	4472
4473	delta-catenin binding [GO:0070097]	4473
4474	CARD domain binding [GO:0050700]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]	4474
4475	nuclear receptor coactivator activity [GO:0030374]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]	4475
4476	alpha-tubulin binding [GO:0043014]; calcium channel regulator activity [GO:0005246]; connexin binding [GO:0071253]; molecular adaptor activity [GO:0060090]; nitric-oxide synthase binding [GO:0050998]; potassium channel inhibitor activity [GO:0019870]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; sodium channel regulator activity [GO:0017080]; transmembrane transporter binding [GO:0044325]	4476
4477	cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]; cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:0097200]; death effector domain binding [GO:0035877]; ubiquitin protein ligase binding [GO:0031625]	4477
4478	enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; nuclear receptor coactivator activity [GO:0030374]; RNA binding [GO:0003723]; RNA polymerase II complex binding [GO:0000993]	4478
4479	phosphatidylserine binding [GO:0001786]; phospholipid binding [GO:0005543]; protein kinase C binding [GO:0005080]	4479
4480	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; cytoskeletal protein binding [GO:0008092]; SNARE binding [GO:0000149]	4480
4481	beta-catenin binding [GO:0008013]; BMP receptor binding [GO:0070700]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; fibrinogen binding [GO:0070051]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase binding [GO:1990782]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]; vascular endothelial growth factor receptor 2 binding [GO:0043184]	4481
4482	exoribonuclease activity [GO:0004532]; identical protein binding [GO:0042802]; m7G(5')pppN diphosphatase activity [GO:0050072]; RNA 7-methylguanosine cap binding [GO:0000340]	4482
4483	calcium channel activity [GO:0005262]; voltage-gated ion channel activity [GO:0005244]	4483
4484	cation channel activity [GO:0005261]; voltage-gated ion channel activity [GO:0005244]	4484
4485	estrogen receptor binding [GO:0030331]; nuclear receptor coactivator activity [GO:0030374]	4485
4486	high voltage-gated calcium channel activity [GO:0008331]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]	4486
4487	carbohydrate binding [GO:0030246]; microtubule binding [GO:0008017]	4487
4488	kinesin binding [GO:0019894]	4488
4489	damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; protein-containing complex binding [GO:0044877]	4489
4490	(R)-2-hydroxyglutarate dehydrogenase activity [GO:0051990]; FAD binding [GO:0071949]; zinc ion binding [GO:0008270]	4490
4491	ferroxidase activity [GO:0004322]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; transmembrane ascorbate ferrireductase activity [GO:0140571]; transmembrane monodehydroascorbate reductase activity [GO:0140575]	4491
4492	adiponectin binding [GO:0055100]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle binding [GO:0030169]; protein homodimerization activity [GO:0042803]	4492
4493	alpha-catenin binding [GO:0045294]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; delta-catenin binding [GO:0070097]	4493
4494	11-cis-retinal 3,4-desaturase activity [GO:0061899]; 11-cis retinal binding [GO:0005502]; all-trans retinal 3,4-desaturase activity [GO:0061897]; all-trans retinal binding [GO:0005503]; all-trans retinoic acid 3,4-desaturase activity [GO:0061898]; all-trans retinol 3,4-desaturase activity [GO:0061896]; all-trans-retinol binding [GO:1904768]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; retinoic acid binding [GO:0001972]	4494
4495	ATP binding [GO:0005524]; histone kinase activity (H3-T11 specific) [GO:0035402]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	4495
4496	carbohydrate binding [GO:0030246]; signaling receptor activity [GO:0038023]	4496
4497	identical protein binding [GO:0042802]; protein tyrosine kinase binding [GO:1990782]; transmembrane signaling receptor activity [GO:0004888]	4497
4498	acetylgalactosaminyltransferase activity [GO:0008376]; glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047238]; glucuronosyltransferase activity [GO:0015020]; glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity [GO:0047237]; metal ion binding [GO:0046872]; peptidoglycan glycosyltransferase activity [GO:0008955]	4498
4499	cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; lipid binding [GO:0008289]; phosphatidylcholine binding [GO:0031210]; phospholipid transporter activity [GO:0005548]; triglyceride binding [GO:0017129]	4499
4500	CCR1 chemokine receptor binding [GO:0031726]; CCR2 chemokine receptor binding [GO:0031727]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; heparin binding [GO:0008201]	4500
4501	cannabinoid receptor activity [GO:0004949]; G protein-coupled receptor activity [GO:0004930]	4501
4502	GTPase activator activity [GO:0005096]; protein-containing complex binding [GO:0044877]	4502
4503	amino acid transmembrane transporter activity [GO:0015171]; arginine transmembrane transporter activity [GO:0015181]; L-arginine transmembrane transporter activity [GO:0061459]; L-lysine transmembrane transporter activity [GO:0015189]; L-ornithine transmembrane transporter activity [GO:0000064]	4503
4504	protein phosphatase 1 binding [GO:0008157]	4504
4505	histone deacetylase binding [GO:0042826]; nuclear receptor binding [GO:0016922]; thyroid hormone receptor binding [GO:0046966]; transcription corepressor activity [GO:0003714]	4505
4506	phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phospholipid binding [GO:0005543]	4506
4507	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	4507
4508	sphingolipid delta-4 desaturase activity [GO:0042284]; sphingosine hydroxylase activity [GO:0000170]	4508
4509	actin binding [GO:0003779]; actin filament binding [GO:0051015]; protein self-association [GO:0043621]; signaling receptor binding [GO:0005102]; spectrin binding [GO:0030507]	4509
4510	morphogen activity [GO:0016015]	4510
4511	cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]	4511
4512	enzyme activator activity [GO:0008047]; nucleic acid binding [GO:0003676]; protein serine/threonine kinase activator activity [GO:0043539]; zinc ion binding [GO:0008270]	4512
4513	ornithine decarboxylase activity [GO:0004586]; protein homodimerization activity [GO:0042803]	4513
