mature_id	gene_name	score
hsa-miR-487b-3p	PBX2	0.189
hsa-miR-487b-3p	PBX1	0.391
hsa-miR-487b-3p	CUX2	0.055
hsa-miR-487b-3p	STS	0.162
hsa-miR-330-3p	CUX2	0.371
hsa-miR-330-3p	STS	0.406
hsa-miR-330-3p	PBX3	0.229
hsa-miR-330-3p	PBX2	0.214
hsa-miR-330-3p	PBX1	0.319
hsa-miR-4257	STS	0.715
hsa-miR-4257	PBX3	0.424
hsa-miR-4257	PBX2	0.372
hsa-miR-4257	PBX1	0.529
hsa-miR-4257	CUX2	0.236
hsa-miR-4264	CUX2	0.798
hsa-miR-4264	PBX1	0.374
hsa-miR-4264	STS	0.545
hsa-miR-4264	PBX3	0.714
hsa-miR-4264	PBX2	0.652
hsa-miR-489-5p	STS	0.164
hsa-miR-489-5p	PBX1	0.089
hsa-miR-489-5p	PBX3	0.126
hsa-miR-92b-5p	CUX2	0.163
hsa-miR-92b-5p	STS	0.139
hsa-miR-92b-5p	PBX3	0.212
hsa-miR-92b-5p	PBX1	0.165
hsa-miR-92b-5p	PBX2	0.293
hsa-miR-6829-3p	STS	0.692
hsa-miR-6829-3p	PBX1	0.644
hsa-miR-6829-3p	PBX2	0.89
hsa-miR-6829-3p	CUX2	0.726
hsa-miR-6829-3p	PBX3	0.442
hsa-miR-6766-3p	CUX2	0.152
hsa-miR-6766-3p	PBX2	0.135
hsa-miR-6766-3p	PBX1	0.198
hsa-miR-6766-3p	PBX3	0.053
hsa-miR-5584-5p	STS	0.79
hsa-miR-5584-5p	PBX3	0.544
hsa-miR-5584-5p	PBX1	0.159
hsa-miR-4710	STS	1.033
hsa-miR-4710	PBX1	1.138
hsa-miR-4710	CUX2	1.067
hsa-miR-4710	PBX3	1.011
hsa-miR-4710	PBX2	1.121
hsa-miR-3910	STS	0.493
hsa-miR-3910	CUX2	0.694
hsa-miR-3910	PBX3	0.437
hsa-miR-3910	PBX2	0.58
hsa-miR-3910	PBX1	0.551
hsa-miR-885-5p	CUX2	0.221
hsa-miR-885-5p	PBX2	0.141
hsa-miR-885-5p	PBX1	0.21
hsa-miR-885-5p	STS	0.087
hsa-miR-885-5p	PBX3	0.382
hsa-miR-302e	CUX2	1.261
hsa-miR-302e	STS	1.21
hsa-miR-302e	PBX1	0.603
hsa-miR-302e	PBX3	1.391
hsa-miR-4715-3p	CUX2	0.2
hsa-miR-4715-3p	STS	0.365
hsa-miR-4715-3p	PBX3	0.185
hsa-miR-4715-3p	PBX1	0.143
hsa-miR-4715-3p	PBX2	0.132
hsa-miR-1282	STS	0.704
hsa-miR-1282	PBX3	0.765
hsa-miR-1282	CUX2	0.353
hsa-miR-1282	PBX1	0.32
hsa-miR-1282	PBX2	0.33
hsa-miR-3124-5p	PBX1	0.378
hsa-miR-3124-5p	CUX2	0.335
hsa-miR-3124-5p	STS	0.211
hsa-miR-3124-5p	PBX3	0.405
hsa-miR-4750-5p	CUX2	0.044
hsa-miR-4750-5p	STS	0.076
hsa-miR-4750-5p	PBX1	0.171
hsa-miR-4750-5p	PBX2	0.256
hsa-miR-191-3p	CUX2	0.231
hsa-miR-191-3p	STS	0.025
hsa-miR-191-3p	PBX2	0.137
hsa-miR-191-3p	PBX1	0.15
hsa-miR-6841-3p	STS	0.261
hsa-miR-6841-3p	PBX3	0.579
hsa-miR-6841-3p	PBX2	0.284
hsa-miR-6841-3p	PBX1	0.101
hsa-miR-6841-3p	CUX2	0.519
hsa-miR-1301-5p	STS	0.837
hsa-miR-1301-5p	PBX3	0.641
hsa-miR-1301-5p	CUX2	0.804
hsa-miR-1301-5p	PBX1	0.427
hsa-miR-3928-3p	PBX1	0.018
hsa-miR-3928-3p	STS	0.148
hsa-miR-3928-3p	PBX2	0.006
hsa-miR-6799-5p	PBX2	1.007
hsa-miR-6799-5p	CUX2	0.881
hsa-miR-6799-5p	STS	0.682
hsa-miR-6799-5p	PBX1	0.798
hsa-miR-6799-5p	PBX3	0.788
hsa-miR-20a-3p	STS	0.437
hsa-miR-20a-3p	PBX3	0.013
hsa-miR-20a-3p	PBX2	0.433
hsa-miR-20a-3p	PBX1	0.183
hsa-miR-6787-3p	STS	0.314
hsa-miR-6787-3p	CUX2	0.364
hsa-miR-6787-3p	PBX3	0.103
hsa-miR-6787-3p	PBX2	0.261
hsa-miR-6787-3p	PBX1	0.356
hsa-miR-1915-3p	PBX2	0.698
hsa-miR-1915-3p	PBX1	0.654
hsa-miR-603	PBX1	0.156
hsa-miR-32-5p	CUX2	0.172
hsa-miR-32-5p	STS	0.274
hsa-miR-32-5p	PBX1	0.098
hsa-miR-5706	PBX1	0.123
hsa-miR-5706	STS	0.172
hsa-miR-5706	PBX3	0.219
hsa-miR-5706	CUX2	0.117
hsa-miR-5706	PBX2	0.349
hsa-miR-6778-5p	STS	0.199
hsa-miR-6778-5p	PBX1	0.194
hsa-miR-6778-5p	PBX2	0.082
hsa-miR-6778-5p	CUX2	0.226
hsa-miR-6778-5p	PBX3	0.034
hsa-miR-1301-3p	PBX1	0.099
hsa-miR-1301-3p	STS	0.138
hsa-miR-1301-3p	CUX2	0.114
hsa-miR-1301-3p	PBX3	0.054
hsa-miR-1301-3p	PBX2	0.238
hsa-miR-1273f	CUX2	0.755
hsa-miR-1273f	STS	0.788
hsa-miR-1273f	PBX3	0.663
hsa-miR-1273f	PBX2	0.635
hsa-miR-1273f	PBX1	0.898
hsa-miR-4777-5p	STS	0.628
hsa-miR-4777-5p	CUX2	0.027
hsa-miR-4777-5p	PBX1	0.22
hsa-miR-3938	PBX2	0.538
hsa-miR-371b-3p	STS	0.886
hsa-miR-371b-3p	PBX1	0.091
hsa-miR-371b-3p	CUX2	0.557
hsa-miR-371b-3p	PBX3	0.16
hsa-miR-7112-3p	CUX2	0.061
hsa-miR-7112-3p	PBX3	0.016
hsa-miR-370-3p	PBX1	0.345
hsa-miR-370-3p	CUX2	0.361
hsa-miR-370-3p	STS	0.357
hsa-miR-370-3p	PBX2	0.256
hsa-miR-370-3p	PBX3	0.452
hsa-miR-574-3p	CUX2	0.417
hsa-miR-574-3p	STS	0.49
hsa-miR-574-3p	PBX3	0.311
hsa-miR-574-3p	PBX2	0.364
hsa-miR-574-3p	PBX1	0.213
hsa-miR-4751	STS	0.049
hsa-miR-4751	CUX2	0.019
hsa-miR-4751	PBX3	0.034
hsa-miR-4751	PBX2	0.089
hsa-miR-4751	PBX1	0.225
hsa-miR-8071	CUX2	0.677
hsa-miR-8071	STS	0.588
hsa-miR-8071	PBX3	0.979
hsa-miR-8071	PBX2	0.32
hsa-miR-8071	PBX1	0.618
hsa-miR-23a-5p	CUX2	0.38
hsa-miR-23a-5p	STS	0.428
hsa-miR-23a-5p	PBX2	0.412
hsa-miR-23a-5p	PBX3	0.148
hsa-miR-23a-5p	PBX1	0.356
hsa-miR-329-5p	CUX2	0.223
hsa-miR-329-5p	STS	0.256
hsa-miR-329-5p	PBX3	0.323
hsa-miR-329-5p	PBX1	0.12
hsa-miR-372-3p	STS	0.351
hsa-miR-4479	CUX2	0.304
hsa-miR-4479	STS	0.124
hsa-miR-4479	PBX1	0.055
hsa-miR-105-3p	PBX1	0.058
hsa-miR-105-3p	STS	0.024
hsa-miR-4326	PBX3	0.377
hsa-miR-4326	PBX1	0.439
hsa-miR-4326	STS	0.329
hsa-miR-4326	PBX2	0.682
hsa-miR-4326	CUX2	0.656
hsa-let-7b-5p	PBX3	0.112
hsa-let-7b-5p	PBX1	0.181
hsa-let-7b-5p	CUX2	0.272
hsa-let-7b-5p	STS	0.255
hsa-let-7b-5p	PBX2	0.384
hsa-miR-6751-5p	STS	0.212
hsa-miR-6751-5p	CUX2	0.262
hsa-miR-6751-5p	PBX2	0.213
hsa-miR-6751-5p	PBX1	0.199
hsa-miR-3192-3p	STS	0.471
hsa-miR-3192-3p	PBX1	0.333
hsa-miR-3192-3p	CUX2	0.321
hsa-miR-3192-3p	PBX3	0.526
hsa-miR-3192-3p	PBX2	0.101
hsa-miR-6856-3p	CUX2	0.351
hsa-miR-6856-3p	PBX1	0.137
hsa-miR-6807-5p	PBX3	0.098
hsa-miR-6807-5p	PBX2	0.237
hsa-miR-6807-5p	CUX2	0.25
hsa-miR-6807-5p	STS	0.369
hsa-miR-6807-5p	PBX1	0.222
hsa-miR-6735-5p	PBX3	0.055
hsa-miR-5680	STS	0.53
hsa-miR-5680	PBX3	0.244
hsa-miR-5680	PBX2	0.402
hsa-miR-5680	PBX1	0.232
hsa-miR-30a-5p	PBX1	0.098
hsa-miR-1207-5p	PBX2	0.491
hsa-miR-1207-5p	PBX1	0.34
hsa-miR-1207-5p	CUX2	0.422
hsa-miR-1207-5p	STS	0.426
hsa-miR-1207-5p	PBX3	0.289
hsa-miR-6844	PBX1	0.347
hsa-miR-6844	CUX2	0.357
hsa-miR-6844	STS	0.646
hsa-miR-6844	PBX3	0.677
hsa-miR-6844	PBX2	0.589
hsa-miR-4438	PBX2	0.374
hsa-miR-4438	CUX2	0.637
hsa-miR-4438	STS	0.553
hsa-miR-4438	PBX3	0.407
hsa-miR-4438	PBX1	0.503
hsa-miR-3189-3p	PBX1	0.488
hsa-miR-3189-3p	PBX2	0.193
hsa-miR-6880-5p	STS	0.206
hsa-miR-6880-5p	PBX3	0.263
hsa-miR-6880-5p	PBX1	0.241
hsa-miR-6880-5p	PBX2	0.696
hsa-miR-6805-3p	PBX2	0.208
hsa-miR-6805-3p	STS	0.195
hsa-miR-6805-3p	PBX1	0.101
hsa-miR-302b-5p	PBX3	0.1
hsa-miR-302b-5p	STS	0.165
hsa-miR-875-3p	CUX2	0.144
hsa-miR-875-3p	STS	0.334
hsa-miR-875-3p	PBX2	0.418
hsa-miR-875-3p	PBX1	0.234
hsa-miR-875-3p	PBX3	0.078
hsa-miR-6869-3p	CUX2	0.736
hsa-miR-6869-3p	STS	0.306
hsa-miR-6869-3p	PBX3	0.554
hsa-miR-6869-3p	PBX1	0.142
hsa-miR-6869-3p	PBX2	0.443
hsa-miR-657	CUX2	0.061
hsa-miR-657	STS	0.288
hsa-miR-657	PBX1	0.167
hsa-miR-657	PBX2	0.103
hsa-miR-4689	PBX3	0.104
hsa-miR-4689	PBX2	0.184
hsa-miR-4689	CUX2	0.248
hsa-miR-4689	STS	0.229
hsa-miR-4689	PBX1	0.243
hsa-miR-136-3p	STS	0.622
hsa-miR-136-3p	PBX2	0.176
hsa-miR-519a-3p	STS	0.14
hsa-miR-519a-3p	CUX2	0.119
hsa-miR-519a-3p	PBX1	0.254
hsa-miR-519a-3p	PBX3	0.305
hsa-miR-519a-3p	PBX2	0.205
hsa-miR-5003-3p	STS	0.714
hsa-miR-5003-3p	CUX2	0.445
hsa-miR-5003-3p	PBX1	0.127
hsa-miR-5003-3p	PBX2	0.517
hsa-miR-5003-3p	PBX3	0.045
hsa-miR-576-5p	PBX3	0.16
hsa-miR-576-5p	CUX2	0.018
hsa-miR-576-5p	STS	0.094
hsa-miR-576-5p	PBX2	0.143
hsa-miR-576-5p	PBX1	0.085
hsa-miR-371a-3p	PBX1	0.317
hsa-miR-371a-3p	CUX2	0.185
hsa-miR-371a-3p	PBX3	0.189
hsa-miR-371a-3p	PBX2	0.641
hsa-miR-6762-3p	PBX2	0.113
hsa-miR-6762-3p	PBX1	0.069
hsa-miR-6762-3p	CUX2	0.067
hsa-miR-6762-3p	PBX3	0.287
hsa-miR-586	STS	0.139
hsa-miR-586	CUX2	0.358
hsa-miR-621	CUX2	0.565
hsa-miR-621	STS	0.278
hsa-miR-621	PBX2	0.094
hsa-miR-621	PBX1	0.151
hsa-miR-6791-3p	PBX2	0.356
hsa-miR-6791-3p	PBX1	0.561
hsa-miR-4664-5p	STS	0.313
hsa-miR-4664-5p	PBX2	0.249
hsa-miR-4664-5p	PBX1	0.221
hsa-miR-4664-5p	CUX2	0.218
hsa-miR-4436b-3p	CUX2	0.231
hsa-miR-4436b-3p	STS	0.261
hsa-miR-4436b-3p	PBX1	0.344
hsa-miR-4436b-3p	PBX3	0.24
hsa-miR-4436b-3p	PBX2	0.083
hsa-miR-3150a-5p	STS	0.042
hsa-miR-3150a-5p	CUX2	0.107
hsa-miR-3150a-5p	PBX2	0.294
hsa-miR-3150a-5p	PBX1	0.044
hsa-miR-3150a-5p	PBX3	0.131
hsa-miR-3692-3p	PBX3	0.047
hsa-miR-338-5p	PBX1	0.029
hsa-miR-338-5p	CUX2	0.104
hsa-miR-4693-3p	PBX3	0.012
hsa-miR-4693-3p	PBX1	0.084
hsa-miR-4693-3p	CUX2	0.064
hsa-miR-4693-3p	STS	0.162
hsa-miR-4693-3p	PBX2	0.078
hsa-miR-543	CUX2	0.13
hsa-miR-543	STS	0.242
hsa-miR-543	PBX1	0.108
hsa-miR-543	PBX2	0.018
hsa-miR-151b	CUX2	0.562
hsa-miR-151b	STS	0.404
hsa-miR-151b	PBX2	0.576
hsa-miR-151b	PBX3	0.363
hsa-miR-151b	PBX1	0.439
hsa-miR-211-3p	CUX2	0.132
hsa-miR-211-3p	STS	0.295
hsa-miR-211-3p	PBX1	0.279
hsa-miR-211-3p	PBX3	0.224
hsa-miR-211-3p	PBX2	0.359
hsa-miR-7150	PBX3	0.097
hsa-miR-7150	PBX1	0.645
hsa-miR-7150	CUX2	0.79
hsa-miR-7150	STS	0.859
hsa-miR-7150	PBX2	0.984
hsa-miR-4445-3p	PBX3	0.097
hsa-miR-4445-3p	STS	0.426
hsa-miR-4445-3p	CUX2	0.41
hsa-miR-4445-3p	PBX2	0.441
hsa-miR-4445-3p	PBX1	0.233
hsa-miR-96-5p	CUX2	0.137
hsa-miR-96-5p	STS	0.181
hsa-miR-96-5p	PBX3	0.059
hsa-miR-96-5p	PBX2	0.025
hsa-miR-5579-5p	STS	0.31
hsa-miR-5579-5p	PBX3	0.106
hsa-miR-5579-5p	PBX2	0.334
hsa-miR-5579-5p	PBX1	0.228
hsa-miR-5579-5p	CUX2	0.4
hsa-miR-887-3p	PBX1	0.293
hsa-miR-887-3p	CUX2	0.027
hsa-miR-887-3p	STS	0.286
hsa-miR-3689a-5p	CUX2	0.046
hsa-miR-3689a-5p	STS	0.077
hsa-miR-3689a-5p	PBX3	0.022
hsa-miR-3689a-5p	PBX1	0.138
hsa-miR-3689a-5p	PBX2	0.244
hsa-miR-6504-3p	PBX1	0.632
hsa-miR-6504-3p	STS	0.581
hsa-miR-6504-3p	PBX3	0.861
hsa-miR-6504-3p	PBX2	1.036
hsa-miR-6504-3p	CUX2	0.245
hsa-miR-4282	PBX1	0.312
hsa-miR-4282	STS	0.307
hsa-miR-1228-3p	PBX1	0.251
hsa-miR-1228-3p	PBX2	0.804
hsa-miR-106a-3p	STS	0.339
hsa-miR-106a-3p	PBX1	0.317
hsa-miR-106a-3p	PBX3	0.082
hsa-miR-106a-3p	PBX2	0.535
hsa-miR-491-5p	STS	0.202
hsa-miR-491-5p	PBX3	0.001
hsa-miR-491-5p	PBX2	0.575
hsa-miR-491-5p	PBX1	0.288
hsa-miR-491-5p	CUX2	0.321
hsa-miR-4685-3p	CUX2	0.026
hsa-miR-548al	PBX1	0.25
hsa-miR-548al	PBX2	0.039
hsa-miR-6765-3p	STS	0.177
hsa-miR-6765-3p	PBX3	0.03
hsa-miR-6765-3p	PBX2	0.505
hsa-miR-6765-3p	PBX1	0.232
hsa-miR-6765-3p	CUX2	0.068
hsa-miR-511-3p	PBX2	0.501
hsa-miR-511-3p	CUX2	0.524
hsa-miR-511-3p	PBX1	0.144
hsa-miR-511-3p	PBX3	0.113
hsa-miR-4286	STS	0.744
hsa-miR-4286	PBX1	0.352
hsa-miR-4286	CUX2	0.912
hsa-miR-4286	PBX3	0.476
hsa-miR-4286	PBX2	0.804
hsa-miR-627-3p	STS	0.143
hsa-miR-627-3p	PBX3	0.313
hsa-miR-627-3p	PBX2	0.107
hsa-miR-627-3p	PBX1	0.367
hsa-miR-627-3p	CUX2	0.451
hsa-miR-644a	STS	0.696
hsa-miR-644a	PBX1	0.46
hsa-miR-644a	CUX2	0.459
hsa-miR-644a	PBX3	0.667
hsa-miR-124-5p	STS	0.109
hsa-miR-124-5p	PBX1	0.371
hsa-miR-124-5p	CUX2	0.343
hsa-miR-6887-3p	STS	0.331
hsa-miR-6887-3p	PBX3	0.008
hsa-miR-6887-3p	CUX2	0.803
hsa-miR-6887-3p	PBX2	0.901
hsa-miR-6887-3p	PBX1	0.407
hsa-miR-4449	PBX1	0.04
hsa-miR-1285-3p	CUX2	0.196
hsa-miR-1285-3p	STS	0.146
hsa-miR-1285-3p	PBX3	0.552
hsa-miR-1285-3p	PBX2	0.094
hsa-miR-1285-3p	PBX1	0.197
hsa-miR-1193	PBX3	0.023
hsa-miR-1193	PBX1	0.05
hsa-miR-3153	CUX2	0.413
hsa-miR-3153	STS	0.417
hsa-miR-3153	PBX3	0.142
hsa-miR-3153	PBX2	0.239
hsa-miR-30a-3p	PBX3	0.361
hsa-miR-30a-3p	STS	0.324
hsa-miR-30a-3p	PBX1	0.114
hsa-miR-30a-3p	CUX2	0.315
hsa-miR-4312	PBX3	1.166
hsa-miR-4312	PBX2	0.698
hsa-miR-4312	PBX1	0.639
hsa-miR-4312	CUX2	0.921
hsa-miR-4312	STS	0.889
hsa-miR-5006-5p	STS	0.017
hsa-miR-5006-5p	CUX2	0.377
hsa-miR-5006-5p	PBX1	0.195
hsa-miR-5006-5p	PBX2	0.605
hsa-miR-525-5p	PBX1	0.524
hsa-miR-525-5p	CUX2	0.296
hsa-miR-525-5p	STS	0.467
hsa-miR-525-5p	PBX2	0.573
hsa-miR-525-5p	PBX3	0.958
hsa-miR-6733-3p	CUX2	0.517
hsa-miR-6733-3p	PBX1	0.34
hsa-miR-6733-3p	STS	0.395
hsa-miR-6733-3p	PBX3	0.52
hsa-miR-4711-3p	PBX1	0.779
hsa-miR-4711-3p	STS	0.698
hsa-miR-4711-3p	CUX2	0.738
hsa-miR-4711-3p	PBX3	0.884
hsa-miR-4711-3p	PBX2	0.453
hsa-miR-20b-5p	PBX1	0.01
hsa-miR-5699-5p	CUX2	0.175
hsa-miR-5699-5p	STS	0.02
hsa-miR-5699-5p	PBX2	0.248
hsa-miR-5699-5p	PBX1	0.209
hsa-miR-1260a	CUX2	0.998
hsa-miR-1260a	STS	1.123
hsa-miR-1260a	PBX3	0.854
hsa-miR-1260a	PBX2	1.311
hsa-miR-1260a	PBX1	0.805
hsa-miR-5692c	STS	0.056
hsa-miR-3161	PBX1	0.327
hsa-miR-3591-5p	CUX2	0.25
hsa-miR-3591-5p	PBX1	0.029
hsa-miR-6763-3p	PBX2	0.643
hsa-miR-6763-3p	CUX2	1.029
hsa-miR-6763-3p	STS	0.502
hsa-miR-6763-3p	PBX3	0.39
hsa-miR-6763-3p	PBX1	0.44
hsa-miR-92a-1-5p	CUX2	0.073
hsa-miR-92a-1-5p	PBX1	0.124
hsa-miR-92a-1-5p	PBX2	0.216
hsa-miR-4297	STS	0.79
hsa-miR-4297	PBX3	0.51
hsa-miR-4297	CUX2	1.096
hsa-miR-4297	PBX2	1.052
hsa-miR-4297	PBX1	0.977
hsa-miR-4457	CUX2	0.351
hsa-miR-4457	STS	0.503
hsa-miR-3680-3p	STS	0.209
hsa-miR-3680-3p	CUX2	0.06
hsa-miR-2392	PBX1	0.479
hsa-miR-2392	CUX2	0.479
hsa-miR-2392	STS	0.494
hsa-miR-2392	PBX3	0.371
hsa-miR-2392	PBX2	0.682
hsa-miR-4784	PBX1	0.555
hsa-miR-4784	STS	0.528
hsa-miR-4784	PBX3	0.345
hsa-miR-4784	CUX2	0.526
hsa-miR-4784	PBX2	0.834
hsa-miR-2682-3p	CUX2	0.388
hsa-miR-2682-3p	PBX1	0.292
hsa-miR-2682-3p	STS	0.335
hsa-miR-2682-3p	PBX3	0.085
hsa-miR-2682-3p	PBX2	0.39
hsa-miR-1273c	CUX2	0.448
hsa-miR-7112-5p	STS	0.018
hsa-miR-5690	PBX1	0.269
hsa-miR-5690	STS	0.304
hsa-miR-5690	CUX2	0.389
hsa-miR-5011-3p	PBX3	0.201
hsa-miR-5011-3p	PBX1	0.099
hsa-miR-5011-3p	CUX2	0.291
hsa-miR-5011-3p	STS	0.085
hsa-miR-4431	STS	0.102
hsa-miR-4431	PBX1	0.043
hsa-miR-4418	PBX3	0.023
hsa-miR-4418	STS	1.031
hsa-miR-4418	PBX1	0.928
hsa-miR-4418	CUX2	1.201
hsa-miR-891a-5p	PBX1	0.169
hsa-miR-891a-5p	STS	0.041
hsa-miR-891a-5p	PBX3	0.361
hsa-miR-378f	PBX3	0.308
hsa-miR-378f	PBX2	0.374
hsa-miR-378f	PBX1	0.458
hsa-miR-378f	CUX2	0.329
hsa-miR-378f	STS	0.614
hsa-miR-183-3p	STS	0.318
hsa-miR-3119	CUX2	0.632
hsa-miR-3119	STS	0.42
hsa-miR-3119	PBX2	0.523
hsa-miR-3119	PBX1	0.64
hsa-miR-3119	PBX3	0.542
hsa-miR-4640-3p	CUX2	0.168
hsa-miR-4640-3p	STS	0.124
hsa-miR-4640-3p	PBX2	0.33
hsa-miR-4640-3p	PBX1	0.14
hsa-miR-4640-3p	PBX3	0.136
hsa-miR-3606-3p	CUX2	0.505
hsa-miR-3606-3p	STS	0.59
hsa-miR-106b-5p	STS	0.281
hsa-miR-106b-5p	PBX3	0.032
hsa-miR-106b-5p	PBX1	0.212
hsa-miR-4712-5p	STS	0.416
hsa-miR-4712-5p	PBX2	0.109
hsa-miR-4712-5p	CUX2	0.605
hsa-miR-4712-5p	PBX3	0.351
hsa-miR-4712-5p	PBX1	0.224
hsa-miR-147b	CUX2	0.564
hsa-miR-147b	STS	0.15
hsa-miR-147b	PBX3	0.22
hsa-miR-147b	PBX1	0.076
hsa-miR-147b	PBX2	0.179
hsa-miR-379-5p	CUX2	0.506
hsa-miR-379-5p	STS	0.932
hsa-miR-379-5p	PBX3	0.807
hsa-miR-379-5p	PBX1	0.331
hsa-miR-379-5p	PBX2	0.516
hsa-miR-4678	STS	0.242
hsa-miR-4678	PBX3	0.313
hsa-miR-4678	PBX1	0.22
hsa-miR-4678	PBX2	0.122
hsa-miR-3126-5p	PBX1	0.117
hsa-miR-3126-5p	STS	0.15
hsa-miR-3126-5p	PBX3	0.166
hsa-miR-6069	PBX2	0.142
hsa-miR-6069	CUX2	0.245
hsa-miR-6069	STS	0.193
hsa-miR-6069	PBX1	0.232
hsa-miR-1255b-5p	CUX2	0.128
hsa-miR-1255b-5p	STS	0.253
hsa-miR-1255b-5p	PBX2	0.335
hsa-miR-1255b-5p	PBX3	0.26
hsa-miR-1255b-5p	PBX1	0.106
hsa-miR-6715a-3p	PBX1	0.085
hsa-miR-6715a-3p	PBX3	0.174
hsa-miR-4276	PBX1	0.593
hsa-miR-4276	STS	0.908
hsa-miR-4276	PBX3	1.126
hsa-miR-4276	PBX2	0.948
hsa-miR-4276	CUX2	0.614
hsa-miR-6812-3p	PBX3	0.324
hsa-miR-6812-3p	PBX2	0.412
hsa-miR-6812-3p	CUX2	0.405
hsa-miR-6812-3p	STS	0.22
hsa-miR-6812-3p	PBX1	0.283
hsa-miR-4680-3p	CUX2	0.817
hsa-miR-4680-3p	PBX3	0.211
hsa-miR-4680-3p	PBX1	0.097
hsa-miR-4680-3p	STS	0.228
hsa-miR-4680-3p	PBX2	0.458
hsa-let-7g-5p	STS	0.223
hsa-let-7g-5p	PBX3	0.251
hsa-let-7g-5p	PBX1	0.294
hsa-let-7g-5p	CUX2	0.208
hsa-let-7g-5p	PBX2	0.57
hsa-miR-4757-3p	STS	0.362
hsa-miR-4757-3p	PBX3	0.419
hsa-miR-4731-3p	CUX2	0.454
hsa-miR-4731-3p	PBX3	0.032
hsa-miR-4731-3p	PBX2	0.327
hsa-miR-4731-3p	PBX1	0.491
hsa-miR-4645-5p	STS	0.671
hsa-miR-4645-5p	PBX3	0.808
hsa-miR-4645-5p	PBX1	0.401
hsa-miR-4645-5p	CUX2	0.34
hsa-miR-4645-5p	PBX2	0.589
hsa-miR-4304	STS	1.03
hsa-miR-4304	PBX2	1.089
hsa-miR-4304	PBX1	0.601
hsa-miR-4304	CUX2	0.514
hsa-miR-4304	PBX3	0.619
hsa-miR-4511	PBX1	0.066
hsa-miR-4511	STS	0.478
hsa-miR-4511	PBX2	0.382
hsa-miR-3658	STS	0.261
hsa-miR-3658	PBX1	0.21
hsa-miR-3658	CUX2	0.25
hsa-miR-3658	PBX3	0.11
hsa-miR-3658	PBX2	0.236
hsa-miR-197-5p	PBX2	0.156
hsa-miR-197-5p	STS	0.197
hsa-miR-197-5p	PBX1	0.043
hsa-miR-197-5p	CUX2	0.038
hsa-miR-34b-3p	PBX1	0.068
hsa-miR-6846-5p	CUX2	0.362
hsa-miR-6846-5p	STS	0.249
hsa-miR-6846-5p	PBX2	0.293
hsa-miR-6846-5p	PBX1	0.406
hsa-miR-6846-5p	PBX3	0.545
hsa-miR-580-5p	PBX3	0.161
hsa-miR-580-5p	PBX1	0.009
hsa-miR-519e-5p	CUX2	0.171
hsa-miR-519e-5p	STS	0.254
hsa-miR-519e-5p	PBX1	0.315
hsa-miR-519e-5p	PBX3	0.498
hsa-miR-519e-5p	PBX2	0.4
hsa-miR-6715b-3p	PBX1	0.194
hsa-miR-6715b-3p	PBX2	0.092
hsa-miR-494-5p	STS	0.133
hsa-miR-494-5p	PBX1	0.055
hsa-miR-494-5p	PBX2	0.473
hsa-miR-106a-5p	PBX1	0.085
hsa-miR-106a-5p	PBX3	0.144
hsa-miR-4714-5p	STS	0.288
hsa-miR-4714-5p	PBX1	0.511
hsa-miR-4714-5p	CUX2	0.255
hsa-miR-4714-5p	PBX3	0.261
hsa-miR-599	CUX2	0.55
hsa-miR-599	PBX1	0.138
hsa-miR-599	STS	0.582
hsa-miR-599	PBX3	0.17
hsa-miR-599	PBX2	0.082
hsa-miR-5697	STS	0.191
hsa-miR-5697	PBX3	0.263
hsa-miR-5697	PBX1	0.102
hsa-miR-5697	PBX2	0.006
hsa-miR-4682	PBX1	0.117
hsa-miR-4682	STS	0.516
hsa-miR-4682	PBX3	0.118
hsa-miR-4682	CUX2	0.189
hsa-miR-4682	PBX2	0.193
hsa-miR-3692-5p	PBX1	0.059
hsa-miR-4519	PBX2	1.236
hsa-miR-4519	PBX1	0.496
hsa-miR-4519	CUX2	0.677
hsa-miR-4519	STS	1.059
hsa-miR-4519	PBX3	0.849
hsa-miR-6801-5p	PBX1	0.147
hsa-miR-6801-5p	CUX2	0.137
hsa-miR-6801-5p	STS	0.173
hsa-miR-548v	CUX2	0.309
hsa-miR-548v	STS	0.232
hsa-miR-548v	PBX1	0.301
hsa-miR-548v	PBX2	0.455
hsa-miR-3661	PBX1	0.173
hsa-miR-3661	STS	0.304
hsa-miR-3661	PBX3	0.078
hsa-miR-3661	CUX2	0.425
hsa-miR-3661	PBX2	0.17
hsa-miR-4791	PBX3	0.462
hsa-miR-4791	PBX1	0.493
hsa-miR-4791	CUX2	0.605
hsa-miR-4791	STS	0.594
hsa-miR-4791	PBX2	0.236
hsa-miR-4638-3p	PBX2	0.285
hsa-miR-4638-3p	STS	0.087
hsa-miR-214-5p	STS	0.062
hsa-miR-214-5p	PBX1	0.278
hsa-miR-214-5p	CUX2	0.395
hsa-miR-214-5p	PBX3	0.089
hsa-miR-214-5p	PBX2	0.342
hsa-miR-6500-3p	CUX2	0.394
hsa-miR-6500-3p	STS	0.266
hsa-miR-6500-3p	PBX2	0.368
hsa-miR-6500-3p	PBX1	0.336
hsa-miR-6500-3p	PBX3	0.356
hsa-miR-1296-5p	CUX2	0.191
hsa-miR-1296-5p	STS	0.118
hsa-miR-1296-5p	PBX1	0.172
hsa-miR-1296-5p	PBX2	0.472
hsa-miR-1296-5p	PBX3	0.404
